d: 20
alpha_u: 0.01
alpha_v: 0.01
gamma: 0.8
fnTrainingData: ../ML100K/generality/copy2.train
fnTestData: ../ML100K/generality/copy2.test
fnOutputData: ./testResult/FPMF_0.001_0_100K_copy_2.txt
MinRating: 1.0
MaxRating: 5.0
n: 943
m: 1682
num_iterations: 100
Iter:0| NaN num = 0
MAE:2.5366| RMSE:2.7709925
Iter:1| NaN num = 0
MAE:2.5366| RMSE:2.7709925
Iter:2| NaN num = 0
MAE:2.5366| RMSE:2.7709925
Iter:3| NaN num = 0
MAE:2.5366| RMSE:2.7709925
Iter:4| NaN num = 0
MAE:2.5366| RMSE:2.7709925
Iter:5| NaN num = 0
MAE:2.5366| RMSE:2.7709925
Iter:6| NaN num = 0
MAE:2.5366| RMSE:2.7709925
Iter:7| NaN num = 0
MAE:2.0319195| RMSE:2.2430923
Iter:8| NaN num = 0
MAE:1.0427393| RMSE:1.3477832
Iter:9| NaN num = 0
MAE:2.0860608| RMSE:2.3279717
Iter:10| NaN num = 0
MAE:0.796328| RMSE:1.0330775
Iter:11| NaN num = 0
MAE:0.8331498| RMSE:1.0255146
Iter:12| NaN num = 0
MAE:0.74281955| RMSE:0.96616286
Iter:13| NaN num = 0
MAE:0.7637927| RMSE:0.954719
Iter:14| NaN num = 0
MAE:0.73319316| RMSE:0.9403039
Iter:15| NaN num = 0
MAE:0.73931533| RMSE:0.93880546
Iter:16| NaN num = 0
MAE:0.73641104| RMSE:0.9380822
Iter:17| NaN num = 0
MAE:0.73668206| RMSE:0.9379806
Iter:18| NaN num = 0
MAE:0.7365306| RMSE:0.9378535
Iter:19| NaN num = 0
MAE:0.73641986| RMSE:0.9377375
Iter:20| NaN num = 0
MAE:0.7363257| RMSE:0.9376339
Iter:21| NaN num = 0
MAE:0.7362378| RMSE:0.93753695
Iter:22| NaN num = 0
MAE:0.7361564| RMSE:0.93744814
Iter:23| NaN num = 0
MAE:0.7360847| RMSE:0.93736696
Iter:24| NaN num = 0
MAE:0.73602223| RMSE:0.9372942
Iter:25| NaN num = 0
MAE:0.7359602| RMSE:0.9372262
Iter:26| NaN num = 0
MAE:0.7359059| RMSE:0.93716687
Iter:27| NaN num = 0
MAE:0.73585624| RMSE:0.9371092
Iter:28| NaN num = 0
MAE:0.73581356| RMSE:0.9370571
Iter:29| NaN num = 0
MAE:0.7357749| RMSE:0.9370116
Iter:30| NaN num = 0
MAE:0.73573714| RMSE:0.9369699
Iter:31| NaN num = 0
MAE:0.7357043| RMSE:0.9369303
Iter:32| NaN num = 0
MAE:0.7356768| RMSE:0.93689626
Iter:33| NaN num = 0
MAE:0.7356492| RMSE:0.93686366
Iter:34| NaN num = 0
MAE:0.7356277| RMSE:0.9368347
Iter:35| NaN num = 0
MAE:0.7356031| RMSE:0.93680936
Iter:36| NaN num = 0
MAE:0.7355817| RMSE:0.9367857
Iter:37| NaN num = 0
MAE:0.73556316| RMSE:0.9367649
Iter:38| NaN num = 0
MAE:0.73554784| RMSE:0.93674755
Iter:39| NaN num = 0
MAE:0.73553264| RMSE:0.9367293
Iter:40| NaN num = 0
MAE:0.73551995| RMSE:0.93671376
Iter:41| NaN num = 0
MAE:0.73550755| RMSE:0.93669915
Iter:42| NaN num = 0
MAE:0.73549676| RMSE:0.9366874
Iter:43| NaN num = 0
MAE:0.73548603| RMSE:0.93667555
Iter:44| NaN num = 0
MAE:0.73547703| RMSE:0.9366657
Iter:45| NaN num = 0
MAE:0.735471| RMSE:0.9366564
Iter:46| NaN num = 0
MAE:0.7354636| RMSE:0.9366466
Iter:47| NaN num = 0
MAE:0.73545736| RMSE:0.9366385
Iter:48| NaN num = 0
MAE:0.7354508| RMSE:0.93663216
Iter:49| NaN num = 0
MAE:0.7354468| RMSE:0.9366266
Iter:50| NaN num = 0
MAE:0.73544264| RMSE:0.9366208
Iter:51| NaN num = 0
MAE:0.735438| RMSE:0.9366149
Iter:52| NaN num = 0
MAE:0.7354339| RMSE:0.9366107
Iter:53| NaN num = 0
MAE:0.7354303| RMSE:0.9366078
Iter:54| NaN num = 0
MAE:0.7354264| RMSE:0.9366045
Iter:55| NaN num = 0
MAE:0.7354238| RMSE:0.9366016
Iter:56| NaN num = 0
MAE:0.7354212| RMSE:0.93659806
Iter:57| NaN num = 0
MAE:0.73541886| RMSE:0.9365955
Iter:58| NaN num = 0
MAE:0.73541653| RMSE:0.93659264
Iter:59| NaN num = 0
MAE:0.73541546| RMSE:0.9365903
Iter:60| NaN num = 0
MAE:0.73541325| RMSE:0.9365882
Iter:61| NaN num = 0
MAE:0.7354114| RMSE:0.93658614
Iter:62| NaN num = 0
MAE:0.73540944| RMSE:0.9365846
Iter:63| NaN num = 0
MAE:0.735409| RMSE:0.936583
Iter:64| NaN num = 0
MAE:0.7354076| RMSE:0.93658155
Iter:65| NaN num = 0
MAE:0.7354071| RMSE:0.9365801
Iter:66| NaN num = 0
MAE:0.7354067| RMSE:0.93657935
Iter:67| NaN num = 0
MAE:0.73540545| RMSE:0.9365784
Iter:68| NaN num = 0
MAE:0.7354044| RMSE:0.9365775
Iter:69| NaN num = 0
MAE:0.7354041| RMSE:0.9365769
Iter:70| NaN num = 0
MAE:0.7354041| RMSE:0.9365762
Iter:71| NaN num = 0
MAE:0.7354034| RMSE:0.93657535
Iter:72| NaN num = 0
MAE:0.7354031| RMSE:0.9365742
Iter:73| NaN num = 0
MAE:0.7354028| RMSE:0.936574
Iter:74| NaN num = 0
MAE:0.7354024| RMSE:0.93657357
Iter:75| NaN num = 0
MAE:0.7354014| RMSE:0.936573
Iter:76| NaN num = 0
MAE:0.7354008| RMSE:0.93657273
Iter:77| NaN num = 0
MAE:0.7354007| RMSE:0.93657225
Iter:78| NaN num = 0
MAE:0.73540044| RMSE:0.9365718
Iter:79| NaN num = 0
MAE:0.73539984| RMSE:0.9365718
Iter:80| NaN num = 0
MAE:0.73539966| RMSE:0.9365714
Iter:81| NaN num = 0
MAE:0.7353994| RMSE:0.9365713
Iter:82| NaN num = 0
MAE:0.7353993| RMSE:0.9365709
Iter:83| NaN num = 0
MAE:0.7353991| RMSE:0.93657064
Iter:84| NaN num = 0
MAE:0.7353992| RMSE:0.9365707
Iter:85| NaN num = 0
MAE:0.73539907| RMSE:0.9365706
Iter:86| NaN num = 0
MAE:0.73539895| RMSE:0.93657047
Iter:87| NaN num = 0
MAE:0.73539865| RMSE:0.9365702
Iter:88| NaN num = 0
MAE:0.7353984| RMSE:0.93657017
Iter:89| NaN num = 0
MAE:0.73539835| RMSE:0.93657
Iter:90| NaN num = 0
MAE:0.73539835| RMSE:0.9365698
Iter:91| NaN num = 0
MAE:0.7353983| RMSE:0.93656975
Iter:92| NaN num = 0
MAE:0.73539823| RMSE:0.93656975
Iter:93| NaN num = 0
MAE:0.73539805| RMSE:0.9365698
Iter:94| NaN num = 0
MAE:0.7353981| RMSE:0.93656975
Iter:95| NaN num = 0
MAE:0.7353982| RMSE:0.93656975
Iter:96| NaN num = 0
MAE:0.73539805| RMSE:0.93656975
Iter:97| NaN num = 0
MAE:0.735398| RMSE:0.9365697
Iter:98| NaN num = 0
MAE:0.73539776| RMSE:0.9365696
Iter:99| NaN num = 0
MAE:0.73539764| RMSE:0.9365696
NaN num = 0
MAE:0.7353978| RMSE:0.9365694
