d: 20
alpha_u: 0.01
alpha_v: 0.01
gamma: 0.8
fnTrainingData: ../ML100K/generality/copy5.train
fnTestData: ../ML100K/generality/copy5.test
fnOutputData: ./testResult/FPMF_0.001_0_100K_copy_5.txt
MinRating: 1.0
MaxRating: 5.0
n: 943
m: 1682
num_iterations: 100
Iter:0| NaN num = 0
MAE:2.53195| RMSE:2.7700632
Iter:1| NaN num = 0
MAE:2.53195| RMSE:2.7700632
Iter:2| NaN num = 0
MAE:2.53195| RMSE:2.7700632
Iter:3| NaN num = 0
MAE:2.53195| RMSE:2.7700632
Iter:4| NaN num = 0
MAE:2.53195| RMSE:2.7700632
Iter:5| NaN num = 0
MAE:2.53195| RMSE:2.7700632
Iter:6| NaN num = 0
MAE:2.53195| RMSE:2.7700632
Iter:7| NaN num = 0
MAE:2.3498757| RMSE:2.5709558
Iter:8| NaN num = 0
MAE:0.86471856| RMSE:1.134844
Iter:9| NaN num = 0
MAE:1.325877| RMSE:1.5606604
Iter:10| NaN num = 0
MAE:0.9138967| RMSE:1.1939174
Iter:11| NaN num = 0
MAE:1.1695153| RMSE:1.3661625
Iter:12| NaN num = 0
MAE:0.79109544| RMSE:1.0369636
Iter:13| NaN num = 0
MAE:0.8261904| RMSE:1.0093591
Iter:14| NaN num = 0
MAE:0.74061775| RMSE:0.9498498
Iter:15| NaN num = 0
MAE:0.74929386| RMSE:0.9444148
Iter:16| NaN num = 0
MAE:0.74349695| RMSE:0.94239753
Iter:17| NaN num = 0
MAE:0.74410033| RMSE:0.942315
Iter:18| NaN num = 0
MAE:0.7439261| RMSE:0.9421548
Iter:19| NaN num = 0
MAE:0.743814| RMSE:0.9420175
Iter:20| NaN num = 0
MAE:0.74371934| RMSE:0.941891
Iter:21| NaN num = 0
MAE:0.74363| RMSE:0.9417759
Iter:22| NaN num = 0
MAE:0.7435467| RMSE:0.94167054
Iter:23| NaN num = 0
MAE:0.7434711| RMSE:0.94157267
Iter:24| NaN num = 0
MAE:0.7434| RMSE:0.9414821
Iter:25| NaN num = 0
MAE:0.7433381| RMSE:0.9414006
Iter:26| NaN num = 0
MAE:0.7432798| RMSE:0.9413264
Iter:27| NaN num = 0
MAE:0.7432251| RMSE:0.9412578
Iter:28| NaN num = 0
MAE:0.74317765| RMSE:0.9411957
Iter:29| NaN num = 0
MAE:0.7431324| RMSE:0.94113785
Iter:30| NaN num = 0
MAE:0.7430916| RMSE:0.941086
Iter:31| NaN num = 0
MAE:0.7430533| RMSE:0.9410398
Iter:32| NaN num = 0
MAE:0.74302036| RMSE:0.94099766
Iter:33| NaN num = 0
MAE:0.7429897| RMSE:0.94095796
Iter:34| NaN num = 0
MAE:0.7429643| RMSE:0.940922
Iter:35| NaN num = 0
MAE:0.7429389| RMSE:0.9408911
Iter:36| NaN num = 0
MAE:0.7429159| RMSE:0.94086283
Iter:37| NaN num = 0
MAE:0.7428938| RMSE:0.9408369
Iter:38| NaN num = 0
MAE:0.74287575| RMSE:0.9408136
Iter:39| NaN num = 0
MAE:0.74286044| RMSE:0.9407921
Iter:40| NaN num = 0
MAE:0.742845| RMSE:0.94077307
Iter:41| NaN num = 0
MAE:0.74283063| RMSE:0.9407546
Iter:42| NaN num = 0
MAE:0.74281704| RMSE:0.940738
Iter:43| NaN num = 0
MAE:0.74280584| RMSE:0.94072384
Iter:44| NaN num = 0
MAE:0.7427955| RMSE:0.9407119
Iter:45| NaN num = 0
MAE:0.7427866| RMSE:0.940701
Iter:46| NaN num = 0
MAE:0.74277896| RMSE:0.94069195
Iter:47| NaN num = 0
MAE:0.742772| RMSE:0.94068176
Iter:48| NaN num = 0
MAE:0.74276567| RMSE:0.9406733
Iter:49| NaN num = 0
MAE:0.74275917| RMSE:0.94066495
Iter:50| NaN num = 0
MAE:0.7427533| RMSE:0.9406582
Iter:51| NaN num = 0
MAE:0.7427496| RMSE:0.9406516
Iter:52| NaN num = 0
MAE:0.7427451| RMSE:0.94064665
Iter:53| NaN num = 0
MAE:0.7427408| RMSE:0.9406426
Iter:54| NaN num = 0
MAE:0.7427375| RMSE:0.94063777
Iter:55| NaN num = 0
MAE:0.74273396| RMSE:0.94063324
Iter:56| NaN num = 0
MAE:0.7427318| RMSE:0.94062924
Iter:57| NaN num = 0
MAE:0.7427288| RMSE:0.94062567
Iter:58| NaN num = 0
MAE:0.7427251| RMSE:0.94062287
Iter:59| NaN num = 0
MAE:0.74272335| RMSE:0.9406203
Iter:60| NaN num = 0
MAE:0.7427213| RMSE:0.9406186
Iter:61| NaN num = 0
MAE:0.7427194| RMSE:0.9406167
Iter:62| NaN num = 0
MAE:0.74271905| RMSE:0.9406142
Iter:63| NaN num = 0
MAE:0.7427182| RMSE:0.9406127
Iter:64| NaN num = 0
MAE:0.742717| RMSE:0.9406111
Iter:65| NaN num = 0
MAE:0.74271584| RMSE:0.9406096
Iter:66| NaN num = 0
MAE:0.74271417| RMSE:0.9406088
Iter:67| NaN num = 0
MAE:0.7427134| RMSE:0.9406079
Iter:68| NaN num = 0
MAE:0.7427136| RMSE:0.94060683
Iter:69| NaN num = 0
MAE:0.742712| RMSE:0.9406055
Iter:70| NaN num = 0
MAE:0.7427113| RMSE:0.9406047
Iter:71| NaN num = 0
MAE:0.74271065| RMSE:0.94060427
Iter:72| NaN num = 0
MAE:0.74271005| RMSE:0.9406033
Iter:73| NaN num = 0
MAE:0.7427094| RMSE:0.9406025
Iter:74| NaN num = 0
MAE:0.7427086| RMSE:0.9406017
Iter:75| NaN num = 0
MAE:0.74270785| RMSE:0.9406012
Iter:76| NaN num = 0
MAE:0.74270767| RMSE:0.94060075
Iter:77| NaN num = 0
MAE:0.7427077| RMSE:0.94060063
Iter:78| NaN num = 0
MAE:0.74270743| RMSE:0.94060016
Iter:79| NaN num = 0
MAE:0.74270725| RMSE:0.9406
Iter:80| NaN num = 0
MAE:0.74270684| RMSE:0.94059974
Iter:81| NaN num = 0
MAE:0.7427069| RMSE:0.9405997
Iter:82| NaN num = 0
MAE:0.7427066| RMSE:0.94059944
Iter:83| NaN num = 0
MAE:0.7427067| RMSE:0.9405992
Iter:84| NaN num = 0
MAE:0.7427064| RMSE:0.9405989
Iter:85| NaN num = 0
MAE:0.74270624| RMSE:0.9405989
Iter:86| NaN num = 0
MAE:0.7427059| RMSE:0.9405986
Iter:87| NaN num = 0
MAE:0.7427059| RMSE:0.9405983
Iter:88| NaN num = 0
MAE:0.7427058| RMSE:0.9405982
Iter:89| NaN num = 0
MAE:0.74270564| RMSE:0.94059795
Iter:90| NaN num = 0
MAE:0.7427055| RMSE:0.9405978
Iter:91| NaN num = 0
MAE:0.7427055| RMSE:0.94059765
Iter:92| NaN num = 0
MAE:0.7427056| RMSE:0.9405975
Iter:93| NaN num = 0
MAE:0.7427055| RMSE:0.9405973
Iter:94| NaN num = 0
MAE:0.7427055| RMSE:0.94059736
Iter:95| NaN num = 0
MAE:0.7427053| RMSE:0.9405975
Iter:96| NaN num = 0
MAE:0.7427052| RMSE:0.94059736
Iter:97| NaN num = 0
MAE:0.74270505| RMSE:0.9405973
Iter:98| NaN num = 0
MAE:0.74270487| RMSE:0.94059724
Iter:99| NaN num = 0
MAE:0.74270487| RMSE:0.94059724
NaN num = 0
MAE:0.7427048| RMSE:0.9405971
