d: 20
alpha_u: 0.01
alpha_v: 0.01
gamma: 0.8
fnTrainingData: ../ML100K/generality/copy1.train
fnTestData: ../ML100K/generality/copy1.test
fnOutputData: ./testResult/FPMF_0.001_0_100K_copy_1.txt
MinRating: 1.0
MaxRating: 5.0
n: 943
m: 1682
num_iterations: 100
Iter:0| NaN num = 0
MAE:2.5237| RMSE:2.7655017
Iter:1| NaN num = 0
MAE:2.5237| RMSE:2.7655017
Iter:2| NaN num = 0
MAE:2.5237| RMSE:2.7655017
Iter:3| NaN num = 0
MAE:2.5237| RMSE:2.7655017
Iter:4| NaN num = 0
MAE:2.5237| RMSE:2.7655017
Iter:5| NaN num = 0
MAE:2.5237| RMSE:2.7655017
Iter:6| NaN num = 0
MAE:2.5237| RMSE:2.7655017
Iter:7| NaN num = 0
MAE:2.3862436| RMSE:2.6138403
Iter:8| NaN num = 0
MAE:0.8461651| RMSE:1.1089746
Iter:9| NaN num = 0
MAE:1.1617248| RMSE:1.3879436
Iter:10| NaN num = 0
MAE:0.8851687| RMSE:1.1651729
Iter:11| NaN num = 0
MAE:1.1052166| RMSE:1.2993011
Iter:12| NaN num = 0
MAE:0.7958002| RMSE:1.0465056
Iter:13| NaN num = 0
MAE:0.8256258| RMSE:1.0131757
Iter:14| NaN num = 0
MAE:0.7481406| RMSE:0.9633566
Iter:15| NaN num = 0
MAE:0.75543886| RMSE:0.95669323
Iter:16| NaN num = 0
MAE:0.75027007| RMSE:0.95536894
Iter:17| NaN num = 0
MAE:0.75077415| RMSE:0.9551975
Iter:18| NaN num = 0
MAE:0.7505984| RMSE:0.9550443
Iter:19| NaN num = 0
MAE:0.7504782| RMSE:0.95490783
Iter:20| NaN num = 0
MAE:0.75036484| RMSE:0.9547829
Iter:21| NaN num = 0
MAE:0.75026655| RMSE:0.95466614
Iter:22| NaN num = 0
MAE:0.75017375| RMSE:0.9545588
Iter:23| NaN num = 0
MAE:0.7500851| RMSE:0.9544583
Iter:24| NaN num = 0
MAE:0.75000745| RMSE:0.95436895
Iter:25| NaN num = 0
MAE:0.74993396| RMSE:0.95428705
Iter:26| NaN num = 0
MAE:0.749867| RMSE:0.95421124
Iter:27| NaN num = 0
MAE:0.74980646| RMSE:0.9541407
Iter:28| NaN num = 0
MAE:0.74975187| RMSE:0.95407635
Iter:29| NaN num = 0
MAE:0.7497033| RMSE:0.9540197
Iter:30| NaN num = 0
MAE:0.7496564| RMSE:0.95396465
Iter:31| NaN num = 0
MAE:0.74960935| RMSE:0.95391697
Iter:32| NaN num = 0
MAE:0.7495742| RMSE:0.9538728
Iter:33| NaN num = 0
MAE:0.7495374| RMSE:0.9538343
Iter:34| NaN num = 0
MAE:0.74950796| RMSE:0.9537968
Iter:35| NaN num = 0
MAE:0.7494775| RMSE:0.9537661
Iter:36| NaN num = 0
MAE:0.7494531| RMSE:0.95373666
Iter:37| NaN num = 0
MAE:0.74942994| RMSE:0.95370954
Iter:38| NaN num = 0
MAE:0.7494069| RMSE:0.9536851
Iter:39| NaN num = 0
MAE:0.74939054| RMSE:0.9536644
Iter:40| NaN num = 0
MAE:0.7493731| RMSE:0.95364666
Iter:41| NaN num = 0
MAE:0.74935514| RMSE:0.9536266
Iter:42| NaN num = 0
MAE:0.7493414| RMSE:0.9536105
Iter:43| NaN num = 0
MAE:0.74933076| RMSE:0.95359635
Iter:44| NaN num = 0
MAE:0.7493193| RMSE:0.9535824
Iter:45| NaN num = 0
MAE:0.7493088| RMSE:0.95356995
Iter:46| NaN num = 0
MAE:0.74929714| RMSE:0.9535591
Iter:47| NaN num = 0
MAE:0.74928826| RMSE:0.95354986
Iter:48| NaN num = 0
MAE:0.7492812| RMSE:0.9535417
Iter:49| NaN num = 0
MAE:0.7492746| RMSE:0.95353323
Iter:50| NaN num = 0
MAE:0.74926895| RMSE:0.9535264
Iter:51| NaN num = 0
MAE:0.7492645| RMSE:0.9535206
Iter:52| NaN num = 0
MAE:0.7492588| RMSE:0.9535156
Iter:53| NaN num = 0
MAE:0.7492533| RMSE:0.95351005
Iter:54| NaN num = 0
MAE:0.74924874| RMSE:0.9535057
Iter:55| NaN num = 0
MAE:0.74924433| RMSE:0.9535009
Iter:56| NaN num = 0
MAE:0.7492418| RMSE:0.95349735
Iter:57| NaN num = 0
MAE:0.7492385| RMSE:0.9534939
Iter:58| NaN num = 0
MAE:0.74923736| RMSE:0.95349115
Iter:59| NaN num = 0
MAE:0.74923474| RMSE:0.9534881
Iter:60| NaN num = 0
MAE:0.7492328| RMSE:0.9534861
Iter:61| NaN num = 0
MAE:0.7492312| RMSE:0.95348424
Iter:62| NaN num = 0
MAE:0.74922943| RMSE:0.95348203
Iter:63| NaN num = 0
MAE:0.74922776| RMSE:0.95348024
Iter:64| NaN num = 0
MAE:0.749227| RMSE:0.95347863
Iter:65| NaN num = 0
MAE:0.749225| RMSE:0.9534769
Iter:66| NaN num = 0
MAE:0.7492239| RMSE:0.9534757
Iter:67| NaN num = 0
MAE:0.74922293| RMSE:0.9534744
Iter:68| NaN num = 0
MAE:0.7492223| RMSE:0.9534737
Iter:69| NaN num = 0
MAE:0.7492217| RMSE:0.9534727
Iter:70| NaN num = 0
MAE:0.7492211| RMSE:0.95347136
Iter:71| NaN num = 0
MAE:0.7492199| RMSE:0.95347065
Iter:72| NaN num = 0
MAE:0.74921983| RMSE:0.9534703
Iter:73| NaN num = 0
MAE:0.7492189| RMSE:0.9534695
Iter:74| NaN num = 0
MAE:0.7492183| RMSE:0.9534689
Iter:75| NaN num = 0
MAE:0.7492177| RMSE:0.95346826
Iter:76| NaN num = 0
MAE:0.7492174| RMSE:0.9534675
Iter:77| NaN num = 0
MAE:0.74921685| RMSE:0.9534672
Iter:78| NaN num = 0
MAE:0.74921674| RMSE:0.95346653
Iter:79| NaN num = 0
MAE:0.74921685| RMSE:0.9534662
Iter:80| NaN num = 0
MAE:0.7492164| RMSE:0.9534659
Iter:81| NaN num = 0
MAE:0.7492165| RMSE:0.9534656
Iter:82| NaN num = 0
MAE:0.7492165| RMSE:0.9534656
Iter:83| NaN num = 0
MAE:0.7492163| RMSE:0.95346534
Iter:84| NaN num = 0
MAE:0.74921614| RMSE:0.95346504
Iter:85| NaN num = 0
MAE:0.749216| RMSE:0.9534646
Iter:86| NaN num = 0
MAE:0.7492157| RMSE:0.95346457
Iter:87| NaN num = 0
MAE:0.7492155| RMSE:0.95346415
Iter:88| NaN num = 0
MAE:0.74921536| RMSE:0.9534639
Iter:89| NaN num = 0
MAE:0.7492153| RMSE:0.95346373
Iter:90| NaN num = 0
MAE:0.7492148| RMSE:0.9534636
Iter:91| NaN num = 0
MAE:0.74921477| RMSE:0.95346344
Iter:92| NaN num = 0
MAE:0.74921477| RMSE:0.9534635
Iter:93| NaN num = 0
MAE:0.74921465| RMSE:0.95346326
Iter:94| NaN num = 0
MAE:0.74921477| RMSE:0.9534631
Iter:95| NaN num = 0
MAE:0.7492146| RMSE:0.9534631
Iter:96| NaN num = 0
MAE:0.7492145| RMSE:0.953463
Iter:97| NaN num = 0
MAE:0.74921453| RMSE:0.95346296
Iter:98| NaN num = 0
MAE:0.7492145| RMSE:0.95346284
Iter:99| NaN num = 0
MAE:0.7492143| RMSE:0.95346284
NaN num = 0
MAE:0.74921423| RMSE:0.9534628
