d: 20
alpha_u: 0.01
alpha_v: 0.01
gamma: 0.8
fnTrainingData: ../ML100K/generality/copy3.train
fnTestData: ../ML100K/generality/copy3.test
fnOutputData: ./testResult/FPMF_0.001_3_100K_copy_3.txt
MinRating: 1.0
MaxRating: 5.0
n: 943
m: 1682
num_iterations: 100
Iter:0| NaN num = 0
MAE:2.53265| RMSE:2.7731118
Iter:1| NaN num = 0
MAE:2.53265| RMSE:2.7731118
Iter:2| NaN num = 0
MAE:2.53265| RMSE:2.7731118
Iter:3| NaN num = 0
MAE:2.53265| RMSE:2.7731118
Iter:4| NaN num = 0
MAE:2.53265| RMSE:2.7731118
Iter:5| NaN num = 0
MAE:2.53265| RMSE:2.7731118
Iter:6| NaN num = 0
MAE:2.53265| RMSE:2.7731118
Iter:7| NaN num = 0
MAE:2.4819689| RMSE:2.7142906
Iter:8| NaN num = 0
MAE:0.7861744| RMSE:1.0184067
Iter:9| NaN num = 0
MAE:0.87297785| RMSE:1.0638299
Iter:10| NaN num = 0
MAE:0.7838152| RMSE:1.0277951
Iter:11| NaN num = 0
MAE:0.88414836| RMSE:1.0690771
Iter:12| NaN num = 0
MAE:0.7618677| RMSE:0.99358815
Iter:13| NaN num = 0
MAE:0.78948545| RMSE:0.97482795
Iter:14| NaN num = 0
MAE:0.74231243| RMSE:0.95005006
Iter:15| NaN num = 0
MAE:0.7500626| RMSE:0.9467423
Iter:16| NaN num = 0
MAE:0.7459887| RMSE:0.9457945
Iter:17| NaN num = 0
MAE:0.7464264| RMSE:0.9456676
Iter:18| NaN num = 0
MAE:0.7462686| RMSE:0.9455225
Iter:19| NaN num = 0
MAE:0.7461536| RMSE:0.9453913
Iter:20| NaN num = 0
MAE:0.7460501| RMSE:0.9452704
Iter:21| NaN num = 0
MAE:0.7459528| RMSE:0.94515824
Iter:22| NaN num = 0
MAE:0.74586296| RMSE:0.9450537
Iter:23| NaN num = 0
MAE:0.74578434| RMSE:0.94495827
Iter:24| NaN num = 0
MAE:0.745709| RMSE:0.94486815
Iter:25| NaN num = 0
MAE:0.74563706| RMSE:0.944788
Iter:26| NaN num = 0
MAE:0.74557304| RMSE:0.9447119
Iter:27| NaN num = 0
MAE:0.7455127| RMSE:0.9446434
Iter:28| NaN num = 0
MAE:0.74546033| RMSE:0.94458133
Iter:29| NaN num = 0
MAE:0.7454103| RMSE:0.9445228
Iter:30| NaN num = 0
MAE:0.745367| RMSE:0.9444706
Iter:31| NaN num = 0
MAE:0.7453243| RMSE:0.9444225
Iter:32| NaN num = 0
MAE:0.74528664| RMSE:0.94438106
Iter:33| NaN num = 0
MAE:0.7452519| RMSE:0.94434285
Iter:34| NaN num = 0
MAE:0.74522096| RMSE:0.9443064
Iter:35| NaN num = 0
MAE:0.745194| RMSE:0.94427377
Iter:36| NaN num = 0
MAE:0.74516875| RMSE:0.9442448
Iter:37| NaN num = 0
MAE:0.7451489| RMSE:0.94421667
Iter:38| NaN num = 0
MAE:0.745127| RMSE:0.9441934
Iter:39| NaN num = 0
MAE:0.74510586| RMSE:0.9441698
Iter:40| NaN num = 0
MAE:0.7450883| RMSE:0.94415134
Iter:41| NaN num = 0
MAE:0.7450733| RMSE:0.9441338
Iter:42| NaN num = 0
MAE:0.7450588| RMSE:0.9441183
Iter:43| NaN num = 0
MAE:0.74504817| RMSE:0.94410425
Iter:44| NaN num = 0
MAE:0.74503535| RMSE:0.9440908
Iter:45| NaN num = 0
MAE:0.7450268| RMSE:0.94407815
Iter:46| NaN num = 0
MAE:0.7450179| RMSE:0.9440664
Iter:47| NaN num = 0
MAE:0.74500906| RMSE:0.94405675
Iter:48| NaN num = 0
MAE:0.7450019| RMSE:0.9440479
Iter:49| NaN num = 0
MAE:0.74499553| RMSE:0.94403994
Iter:50| NaN num = 0
MAE:0.74498904| RMSE:0.94403255
Iter:51| NaN num = 0
MAE:0.7449834| RMSE:0.94402725
Iter:52| NaN num = 0
MAE:0.74497896| RMSE:0.9440215
Iter:53| NaN num = 0
MAE:0.7449738| RMSE:0.944017
Iter:54| NaN num = 0
MAE:0.74497014| RMSE:0.9440117
Iter:55| NaN num = 0
MAE:0.74496645| RMSE:0.9440083
Iter:56| NaN num = 0
MAE:0.74496365| RMSE:0.94400465
Iter:57| NaN num = 0
MAE:0.74496025| RMSE:0.94400144
Iter:58| NaN num = 0
MAE:0.7449573| RMSE:0.9439986
Iter:59| NaN num = 0
MAE:0.744956| RMSE:0.943995
Iter:60| NaN num = 0
MAE:0.7449536| RMSE:0.9439931
Iter:61| NaN num = 0
MAE:0.7449517| RMSE:0.9439912
Iter:62| NaN num = 0
MAE:0.74494964| RMSE:0.9439888
Iter:63| NaN num = 0
MAE:0.744948| RMSE:0.943987
Iter:64| NaN num = 0
MAE:0.744947| RMSE:0.94398534
Iter:65| NaN num = 0
MAE:0.7449448| RMSE:0.94398373
Iter:66| NaN num = 0
MAE:0.7449433| RMSE:0.9439821
Iter:67| NaN num = 0
MAE:0.7449422| RMSE:0.9439812
