d: 20
alpha_u: 0.01
alpha_v: 0.01
gamma: 0.8
fnTrainingData: ../ML100K/generality/copy1.train
fnTestData: ../ML100K/generality/copy1.test
fnOutputData: ./testResult/FPMF_0.001_2_100K_copy_1.txt
MinRating: 1.0
MaxRating: 5.0
n: 943
m: 1682
num_iterations: 100
Iter:0| NaN num = 0
MAE:2.5237| RMSE:2.7655017
Iter:1| NaN num = 0
MAE:2.5237| RMSE:2.7655017
Iter:2| NaN num = 0
MAE:2.5237| RMSE:2.7655017
Iter:3| NaN num = 0
MAE:2.5237| RMSE:2.7655017
Iter:4| NaN num = 0
MAE:2.5237| RMSE:2.7655017
Iter:5| NaN num = 0
MAE:2.5237| RMSE:2.7655017
Iter:6| NaN num = 0
MAE:2.5237| RMSE:2.7655017
Iter:7| NaN num = 0
MAE:2.4404116| RMSE:2.6712174
Iter:8| NaN num = 0
MAE:0.81994873| RMSE:1.0683722
Iter:9| NaN num = 0
MAE:0.9891001| RMSE:1.1941984
Iter:10| NaN num = 0
MAE:0.83848876| RMSE:1.105191
Iter:11| NaN num = 0
MAE:1.001648| RMSE:1.1931713
Iter:12| NaN num = 0
MAE:0.78677326| RMSE:1.0327471
Iter:13| NaN num = 0
MAE:0.8143564| RMSE:1.002751
Iter:14| NaN num = 0
MAE:0.74845266| RMSE:0.9629554
Iter:15| NaN num = 0
MAE:0.75553757| RMSE:0.9570452
Iter:16| NaN num = 0
MAE:0.7508311| RMSE:0.95596343
Iter:17| NaN num = 0
MAE:0.7513422| RMSE:0.95583576
Iter:18| NaN num = 0
MAE:0.75121385| RMSE:0.95573145
Iter:19| NaN num = 0
MAE:0.7511328| RMSE:0.95563537
Iter:20| NaN num = 0
MAE:0.7510576| RMSE:0.95554703
Iter:21| NaN num = 0
MAE:0.75099266| RMSE:0.955463
Iter:22| NaN num = 0
MAE:0.7509306| RMSE:0.9553887
Iter:23| NaN num = 0
MAE:0.750876| RMSE:0.95531875
Iter:24| NaN num = 0
MAE:0.75082165| RMSE:0.9552512
Iter:25| NaN num = 0
MAE:0.750775| RMSE:0.95519215
Iter:26| NaN num = 0
MAE:0.7507274| RMSE:0.9551385
Iter:27| NaN num = 0
MAE:0.7506842| RMSE:0.9550889
Iter:28| NaN num = 0
MAE:0.7506521| RMSE:0.9550434
Iter:29| NaN num = 0
MAE:0.75061506| RMSE:0.955001
Iter:30| NaN num = 0
MAE:0.75058633| RMSE:0.95496196
Iter:31| NaN num = 0
MAE:0.7505555| RMSE:0.95492804
Iter:32| NaN num = 0
MAE:0.7505303| RMSE:0.95489717
Iter:33| NaN num = 0
MAE:0.7505108| RMSE:0.954867
Iter:34| NaN num = 0
MAE:0.75049037| RMSE:0.9548418
Iter:35| NaN num = 0
MAE:0.75047165| RMSE:0.9548179
Iter:36| NaN num = 0
MAE:0.75045633| RMSE:0.9547967
Iter:37| NaN num = 0
MAE:0.75043917| RMSE:0.95477694
Iter:38| NaN num = 0
MAE:0.7504246| RMSE:0.95475894
Iter:39| NaN num = 0
MAE:0.7504101| RMSE:0.9547428
Iter:40| NaN num = 0
MAE:0.75039864| RMSE:0.9547285
Iter:41| NaN num = 0
MAE:0.7503867| RMSE:0.9547168
Iter:42| NaN num = 0
MAE:0.7503785| RMSE:0.9547051
Iter:43| NaN num = 0
MAE:0.75036824| RMSE:0.9546944
Iter:44| NaN num = 0
MAE:0.75036067| RMSE:0.9546845
Iter:45| NaN num = 0
MAE:0.7503531| RMSE:0.9546743
Iter:46| NaN num = 0
MAE:0.75034595| RMSE:0.9546664
Iter:47| NaN num = 0
MAE:0.7503419| RMSE:0.9546599
Iter:48| NaN num = 0
MAE:0.75033855| RMSE:0.9546539
Iter:49| NaN num = 0
MAE:0.750334| RMSE:0.95464826
Iter:50| NaN num = 0
MAE:0.7503302| RMSE:0.95464313
Iter:51| NaN num = 0
MAE:0.75032693| RMSE:0.95463866
Iter:52| NaN num = 0
MAE:0.7503234| RMSE:0.95463365
Iter:53| NaN num = 0
MAE:0.75031984| RMSE:0.95463
Iter:54| NaN num = 0
MAE:0.7503172| RMSE:0.9546262
Iter:55| NaN num = 0
MAE:0.7503139| RMSE:0.95462394
Iter:56| NaN num = 0
MAE:0.75031155| RMSE:0.9546213
Iter:57| NaN num = 0
MAE:0.75030935| RMSE:0.95461905
Iter:58| NaN num = 0
MAE:0.75030744| RMSE:0.954617
Iter:59| NaN num = 0
MAE:0.7503051| RMSE:0.95461446
Iter:60| NaN num = 0
MAE:0.7503043| RMSE:0.95461303
Iter:61| NaN num = 0
MAE:0.75030273| RMSE:0.954611
Iter:62| NaN num = 0
MAE:0.7503015| RMSE:0.9546092
Iter:63| NaN num = 0
MAE:0.75029963| RMSE:0.954608
Iter:64| NaN num = 0
MAE:0.75029945| RMSE:0.9546061
Iter:65| NaN num = 0
MAE:0.7502985| RMSE:0.9546048
Iter:66| NaN num = 0
MAE:0.750298| RMSE:0.954604
Iter:67| NaN num = 0
MAE:0.75029665| RMSE:0.9546034
Iter:68| NaN num = 0
MAE:0.7502961| RMSE:0.9546029
Iter:69| NaN num = 0
MAE:0.7502953| RMSE:0.9546022
Iter:70| NaN num = 0
MAE:0.7502947| RMSE:0.9546015
Iter:71| NaN num = 0
MAE:0.75029427| RMSE:0.95460105
Iter:72| NaN num = 0
MAE:0.75029415| RMSE:0.95460105
Iter:73| NaN num = 0
MAE:0.75029397| RMSE:0.9546006
Iter:74| NaN num = 0
MAE:0.75029343| RMSE:0.95460016
Iter:75| NaN num = 0
MAE:0.75029343| RMSE:0.9545999
Iter:76| NaN num = 0
MAE:0.75029314| RMSE:0.9545998
Iter:77| NaN num = 0
MAE:0.75029284| RMSE:0.9545994
Iter:78| NaN num = 0
MAE:0.7502928| RMSE:0.95459926
Iter:79| NaN num = 0
MAE:0.7502924| RMSE:0.9545991
Iter:80| NaN num = 0
MAE:0.75029236| RMSE:0.95459867
Iter:81| NaN num = 0
MAE:0.75029224| RMSE:0.9545988
Iter:82| NaN num = 0
MAE:0.750292| RMSE:0.9545983
Iter:83| NaN num = 0
MAE:0.750292| RMSE:0.95459807
Iter:84| NaN num = 0
MAE:0.750292| RMSE:0.95459807
Iter:85| NaN num = 0
MAE:0.75029194| RMSE:0.95459795
Iter:86| NaN num = 0
MAE:0.75029176| RMSE:0.9545979
Iter:87| NaN num = 0
MAE:0.7502918| RMSE:0.9545976
Iter:88| NaN num = 0
MAE:0.7502916| RMSE:0.9545974
Iter:89| NaN num = 0
MAE:0.75029147| RMSE:0.95459735
Iter:90| NaN num = 0
MAE:0.75029147| RMSE:0.9545972
Iter:91| NaN num = 0
MAE:0.75029147| RMSE:0.9545971
Iter:92| NaN num = 0
MAE:0.7502914| RMSE:0.95459694
Iter:93| NaN num = 0
MAE:0.75029135| RMSE:0.95459694
Iter:94| NaN num = 0
MAE:0.7502913| RMSE:0.9545967
Iter:95| NaN num = 0
MAE:0.750291| RMSE:0.9545967
Iter:96| NaN num = 0
MAE:0.75029105| RMSE:0.9545967
Iter:97| NaN num = 0
MAE:0.750291| RMSE:0.9545967
Iter:98| NaN num = 0
MAE:0.750291| RMSE:0.95459664
Iter:99| NaN num = 0
MAE:0.750291| RMSE:0.95459664
NaN num = 0
MAE:0.750291| RMSE:0.9545965
