d: 20
alpha_u: 0.01
alpha_v: 0.01
gamma: 0.8
fnTrainingData: ../ML100K/generality/copy2.train
fnTestData: ../ML100K/generality/copy2.test
fnOutputData: ./testResult/FPMF_0.001_1_100K_copy_2.txt
MinRating: 1.0
MaxRating: 5.0
n: 943
m: 1682
num_iterations: 100
Iter:0| NaN num = 0
MAE:2.5366| RMSE:2.7709925
Iter:1| NaN num = 0
MAE:2.5366| RMSE:2.7709925
Iter:2| NaN num = 0
MAE:2.5366| RMSE:2.7709925
Iter:3| NaN num = 0
MAE:2.5366| RMSE:2.7709925
Iter:4| NaN num = 0
MAE:2.5366| RMSE:2.7709925
Iter:5| NaN num = 0
MAE:2.5366| RMSE:2.7709925
Iter:6| NaN num = 0
MAE:2.5366| RMSE:2.7709925
Iter:7| NaN num = 0
MAE:1.6795942| RMSE:1.8937191
Iter:8| NaN num = 0
MAE:1.1257267| RMSE:1.44061
Iter:9| NaN num = 0
MAE:2.3460486| RMSE:2.5780127
Iter:10| NaN num = 0
MAE:0.7960198| RMSE:0.9916897
Iter:11| NaN num = 0
MAE:0.7402205| RMSE:0.95179737
Iter:12| NaN num = 0
MAE:0.7521291| RMSE:0.9463219
Iter:13| NaN num = 0
MAE:0.73386735| RMSE:0.93981165
Iter:14| NaN num = 0
MAE:0.74009866| RMSE:0.93898207
Iter:15| NaN num = 0
MAE:0.73619163| RMSE:0.93805027
Iter:16| NaN num = 0
MAE:0.73698896| RMSE:0.9379624
Iter:17| NaN num = 0
MAE:0.73668593| RMSE:0.9378071
Iter:18| NaN num = 0
MAE:0.7365811| RMSE:0.93768716
Iter:19| NaN num = 0
MAE:0.736479| RMSE:0.9375724
Iter:20| NaN num = 0
MAE:0.7363857| RMSE:0.93746495
Iter:21| NaN num = 0
MAE:0.73629963| RMSE:0.93736595
Iter:22| NaN num = 0
MAE:0.7362225| RMSE:0.93727493
Iter:23| NaN num = 0
MAE:0.73614955| RMSE:0.937192
Iter:24| NaN num = 0
MAE:0.73608226| RMSE:0.9371143
Iter:25| NaN num = 0
MAE:0.73602253| RMSE:0.9370429
Iter:26| NaN num = 0
MAE:0.73596925| RMSE:0.936978
Iter:27| NaN num = 0
MAE:0.7359174| RMSE:0.9369177
Iter:28| NaN num = 0
MAE:0.7358704| RMSE:0.9368634
Iter:29| NaN num = 0
MAE:0.73582876| RMSE:0.9368129
Iter:30| NaN num = 0
MAE:0.7357916| RMSE:0.9367669
Iter:31| NaN num = 0
MAE:0.7357555| RMSE:0.93672544
Iter:32| NaN num = 0
MAE:0.73572266| RMSE:0.9366873
Iter:33| NaN num = 0
MAE:0.73569477| RMSE:0.93665373
Iter:34| NaN num = 0
MAE:0.73567015| RMSE:0.93662363
Iter:35| NaN num = 0
MAE:0.7356477| RMSE:0.9365943
Iter:36| NaN num = 0
MAE:0.7356247| RMSE:0.93656856
Iter:37| NaN num = 0
MAE:0.73560554| RMSE:0.9365448
Iter:38| NaN num = 0
MAE:0.73558843| RMSE:0.9365243
Iter:39| NaN num = 0
MAE:0.7355732| RMSE:0.93650454
Iter:40| NaN num = 0
MAE:0.73555887| RMSE:0.93648803
Iter:41| NaN num = 0
MAE:0.7355445| RMSE:0.93647164
Iter:42| NaN num = 0
MAE:0.73553455| RMSE:0.9364579
Iter:43| NaN num = 0
MAE:0.73552203| RMSE:0.9364452
Iter:44| NaN num = 0
MAE:0.73551375| RMSE:0.93643415
Iter:45| NaN num = 0
MAE:0.73550415| RMSE:0.93642426
Iter:46| NaN num = 0
MAE:0.7354976| RMSE:0.93641514
Iter:47| NaN num = 0
MAE:0.73549056| RMSE:0.936407
Iter:48| NaN num = 0
MAE:0.7354822| RMSE:0.93639904
Iter:49| NaN num = 0
MAE:0.7354768| RMSE:0.93639207
Iter:50| NaN num = 0
MAE:0.7354701| RMSE:0.93638575
Iter:51| NaN num = 0
MAE:0.73546493| RMSE:0.9363808
Iter:52| NaN num = 0
MAE:0.7354612| RMSE:0.9363757
Iter:53| NaN num = 0
MAE:0.7354592| RMSE:0.93637216
Iter:54| NaN num = 0
MAE:0.7354549| RMSE:0.93636787
Iter:55| NaN num = 0
MAE:0.73545164| RMSE:0.93636453
Iter:56| NaN num = 0
MAE:0.73544943| RMSE:0.9363604
Iter:57| NaN num = 0
MAE:0.7354466| RMSE:0.936357
Iter:58| NaN num = 0
MAE:0.73544466| RMSE:0.9363538
Iter:59| NaN num = 0
MAE:0.73544323| RMSE:0.93635124
Iter:60| NaN num = 0
MAE:0.73544216| RMSE:0.9363486
Iter:61| NaN num = 0
MAE:0.73544| RMSE:0.93634695
Iter:62| NaN num = 0
MAE:0.73543864| RMSE:0.93634504
Iter:63| NaN num = 0
MAE:0.7354376| RMSE:0.93634367
Iter:64| NaN num = 0
MAE:0.73543614| RMSE:0.93634236
Iter:65| NaN num = 0
MAE:0.7354351| RMSE:0.93634075
Iter:66| NaN num = 0
MAE:0.73543423| RMSE:0.93633914
Iter:67| NaN num = 0
MAE:0.73543346| RMSE:0.9363381
Iter:68| NaN num = 0
MAE:0.73543215| RMSE:0.9363368
Iter:69| NaN num = 0
MAE:0.7354316| RMSE:0.9363362
Iter:70| NaN num = 0
MAE:0.73543113| RMSE:0.93633556
Iter:71| NaN num = 0
MAE:0.73543036| RMSE:0.936335
Iter:72| NaN num = 0
MAE:0.7354299| RMSE:0.9363344
Iter:73| NaN num = 0
MAE:0.735429| RMSE:0.93633384
Iter:74| NaN num = 0
MAE:0.7354287| RMSE:0.93633336
Iter:75| NaN num = 0
MAE:0.7354284| RMSE:0.93633306
Iter:76| NaN num = 0
MAE:0.73542786| RMSE:0.9363326
Iter:77| NaN num = 0
MAE:0.7354274| RMSE:0.9363323
Iter:78| NaN num = 0
MAE:0.7354268| RMSE:0.936332
Iter:79| NaN num = 0
MAE:0.7354269| RMSE:0.9363316
Iter:80| NaN num = 0
MAE:0.7354267| RMSE:0.9363314
Iter:81| NaN num = 0
MAE:0.7354267| RMSE:0.9363313
Iter:82| NaN num = 0
MAE:0.7354264| RMSE:0.9363311
Iter:83| NaN num = 0
MAE:0.73542625| RMSE:0.9363309
Iter:84| NaN num = 0
MAE:0.73542607| RMSE:0.93633056
Iter:85| NaN num = 0
MAE:0.735426| RMSE:0.9363305
Iter:86| NaN num = 0
MAE:0.7354257| RMSE:0.93633044
Iter:87| NaN num = 0
MAE:0.73542553| RMSE:0.93633014
Iter:88| NaN num = 0
MAE:0.7354256| RMSE:0.93633014
Iter:89| NaN num = 0
MAE:0.7354254| RMSE:0.9363301
Iter:90| NaN num = 0
MAE:0.7354255| RMSE:0.93632984
Iter:91| NaN num = 0
MAE:0.73542535| RMSE:0.9363297
Iter:92| NaN num = 0
MAE:0.7354252| RMSE:0.9363296
Iter:93| NaN num = 0
MAE:0.7354252| RMSE:0.93632966
Iter:94| NaN num = 0
MAE:0.735425| RMSE:0.9363297
Iter:95| NaN num = 0
MAE:0.7354252| RMSE:0.93632966
Iter:96| NaN num = 0
MAE:0.735425| RMSE:0.9363295
Iter:97| NaN num = 0
MAE:0.7354249| RMSE:0.93632954
Iter:98| NaN num = 0
MAE:0.735425| RMSE:0.93632954
Iter:99| NaN num = 0
MAE:0.7354249| RMSE:0.9363295
NaN num = 0
MAE:0.7354248| RMSE:0.9363294
