d: 20
alpha_u: 0.01
alpha_v: 0.01
gamma: 0.8
fnTrainingData: ../ML1M/generality/copy3.train
fnTestData: ../ML1M/generality/copy3.test
fnOutputData: ./testResult/FPMF_0.001_0_1M_copy_3.txt
MinRating: 1.0
MaxRating: 5.0
n: 6040
m: 3952
num_iterations: 100
Iter:0| NaN num = 0
MAE:2.5823426| RMSE:2.8127823
Iter:1| NaN num = 0
MAE:2.5823426| RMSE:2.8127823
Iter:2| NaN num = 0
MAE:2.5823426| RMSE:2.8127823
Iter:3| NaN num = 0
MAE:2.5823426| RMSE:2.8127823
Iter:4| NaN num = 0
MAE:2.5823426| RMSE:2.8127823
Iter:5| NaN num = 0
MAE:2.5823426| RMSE:2.8127823
Iter:6| NaN num = 0
MAE:2.5823426| RMSE:2.8127823
Iter:7| NaN num = 0
MAE:2.5823426| RMSE:2.8127823
Iter:8| NaN num = 0
MAE:2.3254392| RMSE:2.5352056
Iter:9| NaN num = 0
MAE:0.7938418| RMSE:1.0433065
Iter:10| NaN num = 0
MAE:1.0332072| RMSE:1.2356287
Iter:11| NaN num = 0
MAE:0.79439574| RMSE:1.0458678
Iter:12| NaN num = 0
MAE:0.8982184| RMSE:1.0763171
Iter:13| NaN num = 0
MAE:0.7284813| RMSE:0.9463715
Iter:14| NaN num = 0
MAE:0.74481976| RMSE:0.9257593
Iter:15| NaN num = 0
MAE:0.7168026| RMSE:0.9113003
Iter:16| NaN num = 0
MAE:0.7209736| RMSE:0.9106979
Iter:17| NaN num = 0
MAE:0.7197965| RMSE:0.91041607
Iter:18| NaN num = 0
MAE:0.71981823| RMSE:0.9103567
Iter:19| NaN num = 0
MAE:0.71976274| RMSE:0.91029054
Iter:20| NaN num = 0
MAE:0.7197097| RMSE:0.9102255
Iter:21| NaN num = 0
MAE:0.71966237| RMSE:0.91016394
Iter:22| NaN num = 0
MAE:0.71961856| RMSE:0.9101073
Iter:23| NaN num = 0
MAE:0.7195801| RMSE:0.9100574
Iter:24| NaN num = 0
MAE:0.7195445| RMSE:0.91001123
Iter:25| NaN num = 0
MAE:0.71951103| RMSE:0.90996516
Iter:26| NaN num = 0
MAE:0.7194807| RMSE:0.90992755
Iter:27| NaN num = 0
MAE:0.7194555| RMSE:0.9098897
Iter:28| NaN num = 0
MAE:0.7194256| RMSE:0.9098563
Iter:29| NaN num = 0
MAE:0.719404| RMSE:0.9098268
Iter:30| NaN num = 0
MAE:0.7193803| RMSE:0.9098001
Iter:31| NaN num = 0
MAE:0.7193606| RMSE:0.9097755
Iter:32| NaN num = 0
MAE:0.7193413| RMSE:0.909752
Iter:33| NaN num = 0
MAE:0.71932566| RMSE:0.90973043
Iter:34| NaN num = 0
MAE:0.71930987| RMSE:0.90971076
Iter:35| NaN num = 0
MAE:0.71929526| RMSE:0.9096936
Iter:36| NaN num = 0
MAE:0.7192834| RMSE:0.9096778
Iter:37| NaN num = 0
MAE:0.71927106| RMSE:0.9096643
Iter:38| NaN num = 0
MAE:0.7192599| RMSE:0.90965146
Iter:39| NaN num = 0
MAE:0.7192504| RMSE:0.90963936
Iter:40| NaN num = 0
MAE:0.7192421| RMSE:0.9096292
Iter:41| NaN num = 0
MAE:0.71923333| RMSE:0.90962005
Iter:42| NaN num = 0
MAE:0.7192261| RMSE:0.9096118
Iter:43| NaN num = 0
MAE:0.719219| RMSE:0.9096046
Iter:44| NaN num = 0
MAE:0.71921396| RMSE:0.9095983
Iter:45| NaN num = 0
MAE:0.7192096| RMSE:0.9095913
Iter:46| NaN num = 0
MAE:0.7192059| RMSE:0.90958536
Iter:47| NaN num = 0
MAE:0.71920013| RMSE:0.9095804
Iter:48| NaN num = 0
MAE:0.71919715| RMSE:0.909576
Iter:49| NaN num = 0
MAE:0.71919316| RMSE:0.9095716
Iter:50| NaN num = 0
MAE:0.71918964| RMSE:0.90956765
Iter:51| NaN num = 0
MAE:0.7191875| RMSE:0.909564
Iter:52| NaN num = 0
MAE:0.7191853| RMSE:0.90956134
Iter:53| NaN num = 0
MAE:0.7191831| RMSE:0.90955806
Iter:54| NaN num = 0
MAE:0.7191813| RMSE:0.9095557
Iter:55| NaN num = 0
MAE:0.71917945| RMSE:0.9095532
Iter:56| NaN num = 0
MAE:0.7191782| RMSE:0.9095513
Iter:57| NaN num = 0
MAE:0.71917653| RMSE:0.9095497
Iter:58| NaN num = 0
MAE:0.71917564| RMSE:0.90954787
Iter:59| NaN num = 0
MAE:0.7191738| RMSE:0.90954643
Iter:60| NaN num = 0
MAE:0.7191727| RMSE:0.90954524
Iter:61| NaN num = 0
MAE:0.7191717| RMSE:0.9095436
Iter:62| NaN num = 0
MAE:0.71917087| RMSE:0.9095425
Iter:63| NaN num = 0
MAE:0.71916974| RMSE:0.90954113
Iter:64| NaN num = 0
MAE:0.71916896| RMSE:0.90954083
Iter:65| NaN num = 0
MAE:0.7191682| RMSE:0.9095399
Iter:66| NaN num = 0
MAE:0.7191677| RMSE:0.9095391
Iter:67| NaN num = 0
MAE:0.71916735| RMSE:0.9095386
Iter:68| NaN num = 0
MAE:0.7191669| RMSE:0.90953785
Iter:69| NaN num = 0
MAE:0.7191664| RMSE:0.9095374
Iter:70| NaN num = 0
MAE:0.7191662| RMSE:0.9095366
Iter:71| NaN num = 0
MAE:0.71916616| RMSE:0.90953654
Iter:72| NaN num = 0
MAE:0.71916574| RMSE:0.90953624
Iter:73| NaN num = 0
MAE:0.7191657| RMSE:0.9095359
Iter:74| NaN num = 0
MAE:0.7191654| RMSE:0.9095355
