d: 20
alpha_u: 0.01
alpha_v: 0.01
gamma: 0.8
fnTrainingData: ../ML100K/generality/copy4.train
fnTestData: ../ML100K/generality/copy4.test
fnOutputData: ./testResult/FPMF_0.001_3_100K_copy_4.txt
MinRating: 1.0
MaxRating: 5.0
n: 943
m: 1682
num_iterations: 100
Iter:0| NaN num = 0
MAE:2.5244| RMSE:2.7652848
Iter:1| NaN num = 0
MAE:2.5244| RMSE:2.7652848
Iter:2| NaN num = 0
MAE:2.5244| RMSE:2.7652848
Iter:3| NaN num = 0
MAE:2.5244| RMSE:2.7652848
Iter:4| NaN num = 0
MAE:2.5244| RMSE:2.7652848
Iter:5| NaN num = 0
MAE:2.5244| RMSE:2.7652848
Iter:6| NaN num = 0
MAE:2.5244| RMSE:2.7652848
Iter:7| NaN num = 0
MAE:2.493775| RMSE:2.729433
Iter:8| NaN num = 0
MAE:0.79600835| RMSE:1.0115676
Iter:9| NaN num = 0
MAE:0.7945658| RMSE:0.9889877
Iter:10| NaN num = 0
MAE:0.7503714| RMSE:0.9621804
Iter:11| NaN num = 0
MAE:0.77202845| RMSE:0.96061873
Iter:12| NaN num = 0
MAE:0.7414971| RMSE:0.94991744
Iter:13| NaN num = 0
MAE:0.7539388| RMSE:0.9465116
Iter:14| NaN num = 0
MAE:0.74187696| RMSE:0.9429915
Iter:15| NaN num = 0
MAE:0.74521387| RMSE:0.94247735
Iter:16| NaN num = 0
MAE:0.74383765| RMSE:0.9421752
Iter:17| NaN num = 0
MAE:0.7439262| RMSE:0.9420526
Iter:18| NaN num = 0
MAE:0.7438103| RMSE:0.9419292
Iter:19| NaN num = 0
MAE:0.7437179| RMSE:0.9418172
Iter:20| NaN num = 0
MAE:0.7436347| RMSE:0.94171613
Iter:21| NaN num = 0
MAE:0.7435598| RMSE:0.9416224
Iter:22| NaN num = 0
MAE:0.74348915| RMSE:0.9415355
Iter:23| NaN num = 0
MAE:0.74342525| RMSE:0.94145775
Iter:24| NaN num = 0
