d: 20
alpha_u: 0.01
alpha_v: 0.01
gamma: 0.8
fnTrainingData: ../ML1M/generality/copy1.train
fnTestData: ../ML1M/generality/copy1.test
fnOutputData: ./testResult/FPMF_0.001_0_1M_copy_1.txt
MinRating: 1.0
MaxRating: 5.0
n: 6040
m: 3952
num_iterations: 100
Iter:0| NaN num = 0
MAE:2.5796762| RMSE:2.811369
Iter:1| NaN num = 0
MAE:2.5796762| RMSE:2.811369
Iter:2| NaN num = 0
MAE:2.5796762| RMSE:2.811369
Iter:3| NaN num = 0
MAE:2.5796762| RMSE:2.811369
Iter:4| NaN num = 0
MAE:2.5796762| RMSE:2.811369
Iter:5| NaN num = 0
MAE:2.5796762| RMSE:2.811369
Iter:6| NaN num = 0
MAE:2.5796762| RMSE:2.811369
Iter:7| NaN num = 0
MAE:2.5784833| RMSE:2.8098361
Iter:8| NaN num = 0
MAE:1.0622913| RMSE:1.2772526
Iter:9| NaN num = 0
MAE:0.91670686| RMSE:1.1967394
Iter:10| NaN num = 0
MAE:1.3195338| RMSE:1.5139576
Iter:11| NaN num = 0
MAE:0.8418895| RMSE:1.1099348
Iter:12| NaN num = 0
MAE:0.9912767| RMSE:1.17538
Iter:13| NaN num = 0
MAE:0.73700565| RMSE:0.96021944
Iter:14| NaN num = 0
MAE:0.7535748| RMSE:0.9335671
Iter:15| NaN num = 0
MAE:0.7192224| RMSE:0.91453743
Iter:16| NaN num = 0
MAE:0.7238496| RMSE:0.913682
Iter:17| NaN num = 0
MAE:0.7225439| RMSE:0.9134087
Iter:18| NaN num = 0
MAE:0.722614| RMSE:0.91338396
Iter:19| NaN num = 0
MAE:0.72259164| RMSE:0.91335106
Iter:20| NaN num = 0
MAE:0.72256213| RMSE:0.9133199
Iter:21| NaN num = 0
MAE:0.7225368| RMSE:0.91329294
Iter:22| NaN num = 0
MAE:0.722515| RMSE:0.91326845
Iter:23| NaN num = 0
MAE:0.7224964| RMSE:0.91324145
Iter:24| NaN num = 0
MAE:0.7224786| RMSE:0.9132192
Iter:25| NaN num = 0
MAE:0.72246265| RMSE:0.9131984
Iter:26| NaN num = 0
MAE:0.72244674| RMSE:0.9131819
Iter:27| NaN num = 0
MAE:0.72243315| RMSE:0.913165
Iter:28| NaN num = 0
MAE:0.72241986| RMSE:0.9131506
Iter:29| NaN num = 0
MAE:0.72240746| RMSE:0.9131356
Iter:30| NaN num = 0
MAE:0.7223967| RMSE:0.91312194
Iter:31| NaN num = 0
MAE:0.7223889| RMSE:0.91311085
Iter:32| NaN num = 0
MAE:0.7223802| RMSE:0.91310006
Iter:33| NaN num = 0
MAE:0.7223715| RMSE:0.9130896
Iter:34| NaN num = 0
MAE:0.722364| RMSE:0.9130813
Iter:35| NaN num = 0
MAE:0.7223562| RMSE:0.91307354
