d: 20
alpha_u: 0.01
alpha_v: 0.01
gamma: 0.8
fnTrainingData: ../ML1M/generality/copy2.train
fnTestData: ../ML1M/generality/copy2.test
fnOutputData: ./testResult/FPMF_0.001_1_1M_copy_2.txt
MinRating: 1.0
MaxRating: 5.0
n: 6040
m: 3952
num_iterations: 100
Iter:0| NaN num = 0
MAE:2.5824826| RMSE:2.8137915
Iter:1| NaN num = 0
MAE:2.5824826| RMSE:2.8137915
Iter:2| NaN num = 0
MAE:2.5824826| RMSE:2.8137915
Iter:3| NaN num = 0
MAE:2.5824826| RMSE:2.8137915
Iter:4| NaN num = 0
MAE:2.5824826| RMSE:2.8137915
Iter:5| NaN num = 0
MAE:2.5824826| RMSE:2.8137915
Iter:6| NaN num = 0
MAE:2.5824826| RMSE:2.8137915
Iter:7| NaN num = 0
MAE:2.5824704| RMSE:2.8137732
Iter:8| NaN num = 0
MAE:1.3507229| RMSE:1.5655521
Iter:9| NaN num = 0
MAE:0.9934553| RMSE:1.293699
Iter:10| NaN num = 0
MAE:1.6901413| RMSE:1.901506
Iter:11| NaN num = 0
MAE:0.80852365| RMSE:1.0648475
Iter:12| NaN num = 0
MAE:0.91577095| RMSE:1.093684
Iter:13| NaN num = 0
MAE:0.7282387| RMSE:0.947828
Iter:14| NaN num = 0
MAE:0.7459562| RMSE:0.9262156
Iter:15| NaN num = 0
MAE:0.7156007| RMSE:0.9102636
Iter:16| NaN num = 0
MAE:0.7200981| RMSE:0.90968645
Iter:17| NaN num = 0
MAE:0.7188582| RMSE:0.9093913
Iter:18| NaN num = 0
MAE:0.71889675| RMSE:0.9093372
Iter:19| NaN num = 0
MAE:0.7188561| RMSE:0.90928376
Iter:20| NaN num = 0
MAE:0.7188126| RMSE:0.9092331
Iter:21| NaN num = 0
MAE:0.7187739| RMSE:0.90918523
Iter:22| NaN num = 0
MAE:0.718739| RMSE:0.9091437
Iter:23| NaN num = 0
MAE:0.7187075| RMSE:0.90910184
Iter:24| NaN num = 0
MAE:0.7186772| RMSE:0.9090645
Iter:25| NaN num = 0
MAE:0.7186458| RMSE:0.9090285
Iter:26| NaN num = 0
MAE:0.7186194| RMSE:0.908996
Iter:27| NaN num = 0
MAE:0.71859753| RMSE:0.90896726
Iter:28| NaN num = 0
MAE:0.71857715| RMSE:0.9089409
Iter:29| NaN num = 0
MAE:0.7185562| RMSE:0.90891707
Iter:30| NaN num = 0
MAE:0.7185391| RMSE:0.9088952
Iter:31| NaN num = 0
MAE:0.71852195| RMSE:0.9088756
Iter:32| NaN num = 0
MAE:0.71850747| RMSE:0.9088583
Iter:33| NaN num = 0
MAE:0.7184941| RMSE:0.908842
Iter:34| NaN num = 0
MAE:0.71848357| RMSE:0.9088265
Iter:35| NaN num = 0
MAE:0.71847147| RMSE:0.90881264
Iter:36| NaN num = 0
MAE:0.7184606| RMSE:0.90879965
Iter:37| NaN num = 0
MAE:0.7184526| RMSE:0.90878934
Iter:38| NaN num = 0
MAE:0.71844363| RMSE:0.90877914
Iter:39| NaN num = 0
MAE:0.7184352| RMSE:0.9087703
Iter:40| NaN num = 0
MAE:0.718428| RMSE:0.90876174
Iter:41| NaN num = 0
MAE:0.71842295| RMSE:0.90875316
Iter:42| NaN num = 0
MAE:0.71841633| RMSE:0.9087464
Iter:43| NaN num = 0
MAE:0.71841294| RMSE:0.9087408
Iter:44| NaN num = 0
MAE:0.7184089| RMSE:0.9087352
Iter:45| NaN num = 0
MAE:0.71840525| RMSE:0.9087308
Iter:46| NaN num = 0
MAE:0.71840185| RMSE:0.9087253
Iter:47| NaN num = 0
MAE:0.7183988| RMSE:0.90872127
Iter:48| NaN num = 0
MAE:0.718396| RMSE:0.90871775
Iter:49| NaN num = 0
MAE:0.7183925| RMSE:0.9087145
Iter:50| NaN num = 0
MAE:0.71839005| RMSE:0.90871114
Iter:51| NaN num = 0
