d: 20
alpha_u: 0.01
alpha_v: 0.01
gamma: 0.8
fnTrainingData: ../ML100K/generality/copy3.train
fnTestData: ../ML100K/generality/copy3.test
fnOutputData: ./testResult/FPMF_0.001_1_100K_copy_3.txt
MinRating: 1.0
MaxRating: 5.0
n: 943
m: 1682
num_iterations: 100
Iter:0| NaN num = 0
MAE:2.53265| RMSE:2.7731118
Iter:1| NaN num = 0
MAE:2.53265| RMSE:2.7731118
Iter:2| NaN num = 0
MAE:2.53265| RMSE:2.7731118
Iter:3| NaN num = 0
MAE:2.53265| RMSE:2.7731118
Iter:4| NaN num = 0
MAE:2.53265| RMSE:2.7731118
Iter:5| NaN num = 0
MAE:2.53265| RMSE:2.7731118
Iter:6| NaN num = 0
MAE:2.53265| RMSE:2.7731118
Iter:7| NaN num = 0
MAE:2.2716293| RMSE:2.4958174
Iter:8| NaN num = 0
MAE:0.9124008| RMSE:1.1937017
Iter:9| NaN num = 0
MAE:1.5000215| RMSE:1.7640302
Iter:10| NaN num = 0
MAE:0.89628905| RMSE:1.1709499
Iter:11| NaN num = 0
MAE:1.0936768| RMSE:1.285294
Iter:12| NaN num = 0
MAE:0.79019743| RMSE:1.0367919
Iter:13| NaN num = 0
MAE:0.82290936| RMSE:1.005891
Iter:14| NaN num = 0
MAE:0.74222356| RMSE:0.9532166
Iter:15| NaN num = 0
MAE:0.7513196| RMSE:0.9470466
Iter:16| NaN num = 0
MAE:0.7454895| RMSE:0.9454864
Iter:17| NaN num = 0
MAE:0.74609464| RMSE:0.94534147
Iter:18| NaN num = 0
MAE:0.74590117| RMSE:0.9451836
Iter:19| NaN num = 0
MAE:0.7457737| RMSE:0.9450403
Iter:20| NaN num = 0
MAE:0.74565804| RMSE:0.94491166
Iter:21| NaN num = 0
MAE:0.7455486| RMSE:0.94478977
Iter:22| NaN num = 0
MAE:0.7454518| RMSE:0.94468105
Iter:23| NaN num = 0
MAE:0.74536085| RMSE:0.9445799
Iter:24| NaN num = 0
MAE:0.7452762| RMSE:0.9444867
Iter:25| NaN num = 0
MAE:0.7451987| RMSE:0.9444011
Iter:26| NaN num = 0
MAE:0.74512815| RMSE:0.94432366
Iter:27| NaN num = 0
MAE:0.7450625| RMSE:0.944252
Iter:28| NaN num = 0
MAE:0.74500376| RMSE:0.9441865
Iter:29| NaN num = 0
MAE:0.74495095| RMSE:0.944128
Iter:30| NaN num = 0
MAE:0.7449029| RMSE:0.94407517
Iter:31| NaN num = 0
MAE:0.74485886| RMSE:0.9440251
Iter:32| NaN num = 0
MAE:0.74481845| RMSE:0.9439807
Iter:33| NaN num = 0
MAE:0.744779| RMSE:0.9439404
Iter:34| NaN num = 0
MAE:0.7447497| RMSE:0.9439032
Iter:35| NaN num = 0
MAE:0.74471664| RMSE:0.9438695
Iter:36| NaN num = 0
MAE:0.74469036| RMSE:0.94383854
Iter:37| NaN num = 0
MAE:0.74466556| RMSE:0.9438133
Iter:38| NaN num = 0
MAE:0.744642| RMSE:0.9437881
Iter:39| NaN num = 0
MAE:0.744622| RMSE:0.9437662
Iter:40| NaN num = 0
MAE:0.7446046| RMSE:0.9437448
Iter:41| NaN num = 0
MAE:0.7445882| RMSE:0.9437264
Iter:42| NaN num = 0
MAE:0.7445732| RMSE:0.9437108
Iter:43| NaN num = 0
MAE:0.7445588| RMSE:0.9436965
Iter:44| NaN num = 0
MAE:0.7445466| RMSE:0.94368404
Iter:45| NaN num = 0
MAE:0.7445378| RMSE:0.9436721
Iter:46| NaN num = 0
MAE:0.7445287| RMSE:0.9436619
Iter:47| NaN num = 0
MAE:0.7445215| RMSE:0.9436515
Iter:48| NaN num = 0
MAE:0.74451303| RMSE:0.9436421
Iter:49| NaN num = 0
MAE:0.74450666| RMSE:0.94363445
Iter:50| NaN num = 0
MAE:0.7444987| RMSE:0.9436272
Iter:51| NaN num = 0
MAE:0.7444902| RMSE:0.94362015
Iter:52| NaN num = 0
MAE:0.74448496| RMSE:0.9436134
Iter:53| NaN num = 0
MAE:0.7444801| RMSE:0.94360775
Iter:54| NaN num = 0
MAE:0.74447566| RMSE:0.9436037
Iter:55| NaN num = 0
MAE:0.74447167| RMSE:0.9435988
Iter:56| NaN num = 0
MAE:0.7444675| RMSE:0.9435951
Iter:57| NaN num = 0
MAE:0.7444656| RMSE:0.9435916
Iter:58| NaN num = 0
MAE:0.7444616| RMSE:0.9435885
Iter:59| NaN num = 0
MAE:0.74445885| RMSE:0.943585
Iter:60| NaN num = 0
MAE:0.74445754| RMSE:0.94358236
Iter:61| NaN num = 0
MAE:0.74445677| RMSE:0.94358003
Iter:62| NaN num = 0
MAE:0.7444538| RMSE:0.94357795
Iter:63| NaN num = 0
MAE:0.744452| RMSE:0.9435762
Iter:64| NaN num = 0
MAE:0.74445075| RMSE:0.94357526
Iter:65| NaN num = 0
MAE:0.7444489| RMSE:0.9435731
Iter:66| NaN num = 0
MAE:0.7444473| RMSE:0.9435722
Iter:67| NaN num = 0
MAE:0.7444464| RMSE:0.94357103
