d: 20
alpha_u: 0.01
alpha_v: 0.01
gamma: 0.8
fnTrainingData: ../ML1M/generality/copy5.train
fnTestData: ../ML1M/generality/copy5.test
fnOutputData: ./testResult/FPMF_0.001_0_1M_copy_5.txt
MinRating: 1.0
MaxRating: 5.0
n: 6040
m: 3952
num_iterations: 100
Iter:0| NaN num = 0
MAE:2.581193| RMSE:2.8127556
Iter:1| NaN num = 0
MAE:2.581193| RMSE:2.8127556
Iter:2| NaN num = 0
MAE:2.581193| RMSE:2.8127556
Iter:3| NaN num = 0
MAE:2.581193| RMSE:2.8127556
Iter:4| NaN num = 0
MAE:2.581193| RMSE:2.8127556
Iter:5| NaN num = 0
MAE:2.581193| RMSE:2.8127556
Iter:6| NaN num = 0
MAE:2.581193| RMSE:2.8127556
Iter:7| NaN num = 0
MAE:2.581193| RMSE:2.8127556
Iter:8| NaN num = 0
MAE:1.5769004| RMSE:1.7852533
Iter:9| NaN num = 0
MAE:1.0038911| RMSE:1.3080971
Iter:10| NaN num = 0
MAE:1.8079394| RMSE:2.0303078
Iter:11| NaN num = 0
MAE:0.786236| RMSE:1.0312586
Iter:12| NaN num = 0
MAE:0.8562707| RMSE:1.0331925
Iter:13| NaN num = 0
MAE:0.7248322| RMSE:0.9411264
Iter:14| NaN num = 0
MAE:0.7419862| RMSE:0.92448187
Iter:15| NaN num = 0
MAE:0.71787727| RMSE:0.9131266
Iter:16| NaN num = 0
MAE:0.72185075| RMSE:0.9126721
Iter:17| NaN num = 0
MAE:0.7207761| RMSE:0.9124412
Iter:18| NaN num = 0
MAE:0.7207948| RMSE:0.9123802
Iter:19| NaN num = 0
MAE:0.7207414| RMSE:0.9123135
Iter:20| NaN num = 0
MAE:0.7206928| RMSE:0.9122579
Iter:21| NaN num = 0
MAE:0.7206492| RMSE:0.9122033
Iter:22| NaN num = 0
MAE:0.7206127| RMSE:0.9121532
Iter:23| NaN num = 0
MAE:0.7205758| RMSE:0.91210747
Iter:24| NaN num = 0
MAE:0.7205417| RMSE:0.9120642
Iter:25| NaN num = 0
MAE:0.72051394| RMSE:0.9120269
Iter:26| NaN num = 0
MAE:0.7204856| RMSE:0.9119913
Iter:27| NaN num = 0
MAE:0.72045994| RMSE:0.9119578
Iter:28| NaN num = 0
MAE:0.72043717| RMSE:0.9119293
Iter:29| NaN num = 0
MAE:0.72041714| RMSE:0.91190064
Iter:30| NaN num = 0
MAE:0.72039515| RMSE:0.9118743
Iter:31| NaN num = 0
MAE:0.7203781| RMSE:0.91185194
Iter:32| NaN num = 0
MAE:0.7203624| RMSE:0.9118305
Iter:33| NaN num = 0
MAE:0.7203482| RMSE:0.9118111
Iter:34| NaN num = 0
MAE:0.7203349| RMSE:0.9117941
Iter:35| NaN num = 0
MAE:0.7203214| RMSE:0.9117778
Iter:36| NaN num = 0
MAE:0.7203099| RMSE:0.9117648
Iter:37| NaN num = 0
MAE:0.7203001| RMSE:0.91175085
Iter:38| NaN num = 0
MAE:0.72028977| RMSE:0.91173875
Iter:39| NaN num = 0
MAE:0.72028005| RMSE:0.91172814
Iter:40| NaN num = 0
MAE:0.72027296| RMSE:0.9117188
Iter:41| NaN num = 0
MAE:0.72026825| RMSE:0.9117099
Iter:42| NaN num = 0
MAE:0.72026163| RMSE:0.91170245
Iter:43| NaN num = 0
MAE:0.7202557| RMSE:0.9116944
Iter:44| NaN num = 0
MAE:0.72025096| RMSE:0.91168743
Iter:45| NaN num = 0
MAE:0.72024703| RMSE:0.9116826
Iter:46| NaN num = 0
MAE:0.7202433| RMSE:0.9116779
Iter:47| NaN num = 0
MAE:0.72023803| RMSE:0.9116724
Iter:48| NaN num = 0
MAE:0.720235| RMSE:0.9116676
Iter:49| NaN num = 0
MAE:0.7202312| RMSE:0.91166425
Iter:50| NaN num = 0
MAE:0.7202282| RMSE:0.91166115
Iter:51| NaN num = 0
MAE:0.7202259| RMSE:0.91165817
Iter:52| NaN num = 0
MAE:0.72022444| RMSE:0.91165566
Iter:53| NaN num = 0
MAE:0.7202233| RMSE:0.9116522
Iter:54| NaN num = 0
MAE:0.7202208| RMSE:0.9116501
Iter:55| NaN num = 0
MAE:0.7202199| RMSE:0.9116482
Iter:56| NaN num = 0
MAE:0.72021866| RMSE:0.9116459
Iter:57| NaN num = 0
MAE:0.72021776| RMSE:0.9116441
Iter:58| NaN num = 0
MAE:0.7202159| RMSE:0.91164243
Iter:59| NaN num = 0
MAE:0.7202153| RMSE:0.91164136
Iter:60| NaN num = 0
MAE:0.7202143| RMSE:0.91164005
Iter:61| NaN num = 0
MAE:0.72021365| RMSE:0.91163874
Iter:62| NaN num = 0
MAE:0.7202129| RMSE:0.91163766
Iter:63| NaN num = 0
MAE:0.7202121| RMSE:0.91163677
Iter:64| NaN num = 0
MAE:0.7202113| RMSE:0.91163594
Iter:65| NaN num = 0
MAE:0.72021055| RMSE:0.91163516
Iter:66| NaN num = 0
MAE:0.7202101| RMSE:0.91163486
Iter:67| NaN num = 0
MAE:0.7202095| RMSE:0.91163415
Iter:68| NaN num = 0
MAE:0.7202093| RMSE:0.9116336
Iter:69| NaN num = 0
MAE:0.7202087| RMSE:0.9116331
Iter:70| NaN num = 0
MAE:0.7202086| RMSE:0.91163266
Iter:71| NaN num = 0
MAE:0.7202083| RMSE:0.91163206
Iter:72| NaN num = 0
MAE:0.7202082| RMSE:0.9116319
Iter:73| NaN num = 0
MAE:0.72020787| RMSE:0.9116316
Iter:74| NaN num = 0
MAE:0.72020775| RMSE:0.91163117
Iter:75| NaN num = 0
MAE:0.7202075| RMSE:0.911631
Iter:76| NaN num = 0
MAE:0.72020745| RMSE:0.9116308
Iter:77| NaN num = 0
MAE:0.7202073| RMSE:0.91163045
Iter:78| NaN num = 0
MAE:0.7202072| RMSE:0.9116303
Iter:79| NaN num = 0
MAE:0.7202072| RMSE:0.91163015
Iter:80| NaN num = 0
MAE:0.7202071| RMSE:0.9116298
Iter:81| NaN num = 0
MAE:0.720207| RMSE:0.91162956
Iter:82| NaN num = 0
MAE:0.7202068| RMSE:0.9116295
Iter:83| NaN num = 0
MAE:0.72020686| RMSE:0.9116293
Iter:84| NaN num = 0
MAE:0.7202068| RMSE:0.91162914
Iter:85| NaN num = 0
MAE:0.72020656| RMSE:0.9116292
Iter:86| NaN num = 0
MAE:0.7202066| RMSE:0.9116291
Iter:87| NaN num = 0
MAE:0.7202065| RMSE:0.9116291
Iter:88| NaN num = 0
MAE:0.7202063| RMSE:0.911629
