d: 20
alpha_u: 0.01
alpha_v: 0.01
gamma: 0.8
fnTrainingData: ../ML1M/generality/copy4.train
fnTestData: ../ML1M/generality/copy4.test
fnOutputData: ./testResult/FPMF_0.001_1_1M_copy_4.txt
MinRating: 1.0
MaxRating: 5.0
n: 6040
m: 3952
num_iterations: 100
Iter:0| NaN num = 0
MAE:2.5821278| RMSE:2.813787
Iter:1| NaN num = 0
MAE:2.5821278| RMSE:2.813787
Iter:2| NaN num = 0
MAE:2.5821278| RMSE:2.813787
Iter:3| NaN num = 0
MAE:2.5821278| RMSE:2.813787
Iter:4| NaN num = 0
MAE:2.5821278| RMSE:2.813787
Iter:5| NaN num = 0
MAE:2.5821278| RMSE:2.813787
Iter:6| NaN num = 0
MAE:2.5821278| RMSE:2.813787
Iter:7| NaN num = 0
MAE:2.5821278| RMSE:2.813787
Iter:8| NaN num = 0
MAE:2.3220794| RMSE:2.5320065
Iter:9| NaN num = 0
MAE:0.7957768| RMSE:1.0479252
Iter:10| NaN num = 0
MAE:1.0467358| RMSE:1.2475066
Iter:11| NaN num = 0
MAE:0.79989225| RMSE:1.0539967
Iter:12| NaN num = 0
MAE:0.9098647| RMSE:1.0880781
Iter:13| NaN num = 0
MAE:0.73025936| RMSE:0.94898117
Iter:14| NaN num = 0
MAE:0.7479265| RMSE:0.92841065
Iter:15| NaN num = 0
MAE:0.7183671| RMSE:0.91304463
Iter:16| NaN num = 0
MAE:0.7227633| RMSE:0.91251457
Iter:17| NaN num = 0
MAE:0.72154254| RMSE:0.9122224
Iter:18| NaN num = 0
MAE:0.72157526| RMSE:0.9121618
Iter:19| NaN num = 0
MAE:0.72152066| RMSE:0.912101
Iter:20| NaN num = 0
MAE:0.7214696| RMSE:0.9120431
Iter:21| NaN num = 0
MAE:0.7214243| RMSE:0.91198766
Iter:22| NaN num = 0
MAE:0.7213845| RMSE:0.9119433
Iter:23| NaN num = 0
MAE:0.72134703| RMSE:0.91189784
Iter:24| NaN num = 0
MAE:0.72131306| RMSE:0.9118566
Iter:25| NaN num = 0
MAE:0.7212865| RMSE:0.9118172
Iter:26| NaN num = 0
MAE:0.72126377| RMSE:0.91177976
Iter:27| NaN num = 0
MAE:0.72123986| RMSE:0.91174585
Iter:28| NaN num = 0
MAE:0.7212155| RMSE:0.9117162
Iter:29| NaN num = 0
MAE:0.7211936| RMSE:0.9116886
Iter:30| NaN num = 0
MAE:0.7211745| RMSE:0.91166514
Iter:31| NaN num = 0
MAE:0.7211579| RMSE:0.9116415
Iter:32| NaN num = 0
MAE:0.72114056| RMSE:0.9116209
Iter:33| NaN num = 0
MAE:0.7211277| RMSE:0.91160226
Iter:34| NaN num = 0
MAE:0.7211145| RMSE:0.91158485
Iter:35| NaN num = 0
MAE:0.7211028| RMSE:0.9115707
Iter:36| NaN num = 0
MAE:0.72109175| RMSE:0.9115569
Iter:37| NaN num = 0
MAE:0.72108185| RMSE:0.91154295
Iter:38| NaN num = 0
MAE:0.721074| RMSE:0.91153157
Iter:39| NaN num = 0
MAE:0.7210666| RMSE:0.9115225
Iter:40| NaN num = 0
MAE:0.72106| RMSE:0.91151327
Iter:41| NaN num = 0
MAE:0.7210531| RMSE:0.9115025
Iter:42| NaN num = 0
MAE:0.7210477| RMSE:0.91149473
Iter:43| NaN num = 0
MAE:0.7210406| RMSE:0.91148734
Iter:44| NaN num = 0
MAE:0.7210359| RMSE:0.9114811
Iter:45| NaN num = 0
MAE:0.72103196| RMSE:0.91147566
Iter:46| NaN num = 0
MAE:0.72102827| RMSE:0.91147083
Iter:47| NaN num = 0
MAE:0.7210243| RMSE:0.91146636
Iter:48| NaN num = 0
MAE:0.7210213| RMSE:0.91146266
Iter:49| NaN num = 0
MAE:0.72101873| RMSE:0.91145897
Iter:50| NaN num = 0
MAE:0.7210155| RMSE:0.9114559
Iter:51| NaN num = 0
MAE:0.72101283| RMSE:0.91145337
Iter:52| NaN num = 0
MAE:0.7210099| RMSE:0.9114502
Iter:53| NaN num = 0
MAE:0.72100765| RMSE:0.9114477
Iter:54| NaN num = 0
MAE:0.7210061| RMSE:0.91144544
Iter:55| NaN num = 0
MAE:0.7210056| RMSE:0.9114434
Iter:56| NaN num = 0
MAE:0.7210044| RMSE:0.9114414
Iter:57| NaN num = 0
MAE:0.7210024| RMSE:0.9114393
Iter:58| NaN num = 0
MAE:0.7210013| RMSE:0.9114379
Iter:59| NaN num = 0
MAE:0.7209999| RMSE:0.9114369
Iter:60| NaN num = 0
MAE:0.7209986| RMSE:0.91143566
Iter:61| NaN num = 0
MAE:0.72099775| RMSE:0.91143495
Iter:62| NaN num = 0
MAE:0.7209975| RMSE:0.9114341
Iter:63| NaN num = 0
MAE:0.7209966| RMSE:0.9114335
Iter:64| NaN num = 0
MAE:0.7209961| RMSE:0.9114329
Iter:65| NaN num = 0
MAE:0.7209957| RMSE:0.9114323
Iter:66| NaN num = 0
MAE:0.7209953| RMSE:0.9114316
Iter:67| NaN num = 0
MAE:0.72099483| RMSE:0.911431
Iter:68| NaN num = 0
MAE:0.7209945| RMSE:0.91143066
Iter:69| NaN num = 0
MAE:0.720994| RMSE:0.91143036
Iter:70| NaN num = 0
MAE:0.72099346| RMSE:0.9114302
Iter:71| NaN num = 0
MAE:0.72099346| RMSE:0.9114298
Iter:72| NaN num = 0
MAE:0.72099334| RMSE:0.91142935
Iter:73| NaN num = 0
MAE:0.720993| RMSE:0.91142917
Iter:74| NaN num = 0
MAE:0.7209928| RMSE:0.9114288
Iter:75| NaN num = 0
MAE:0.7209928| RMSE:0.9114287
Iter:76| NaN num = 0
MAE:0.7209928| RMSE:0.9114282
Iter:77| NaN num = 0
MAE:0.72099274| RMSE:0.9114281
Iter:78| NaN num = 0
MAE:0.7209925| RMSE:0.911428
Iter:79| NaN num = 0
MAE:0.7209921| RMSE:0.9114278
Iter:80| NaN num = 0
MAE:0.7209918| RMSE:0.91142744
Iter:81| NaN num = 0
MAE:0.72099173| RMSE:0.91142726
Iter:82| NaN num = 0
MAE:0.7209916| RMSE:0.9114273
Iter:83| NaN num = 0
MAE:0.72099143| RMSE:0.9114273
Iter:84| NaN num = 0
MAE:0.72099143| RMSE:0.91142726
Iter:85| NaN num = 0
MAE:0.72099125| RMSE:0.9114274
Iter:86| NaN num = 0
MAE:0.72099125| RMSE:0.9114273
Iter:87| NaN num = 0
MAE:0.7209913| RMSE:0.91142726
Iter:88| NaN num = 0
MAE:0.72099125| RMSE:0.9114272
Iter:89| NaN num = 0
MAE:0.72099125| RMSE:0.91142714
Iter:90| NaN num = 0
MAE:0.72099125| RMSE:0.9114271
Iter:91| NaN num = 0
MAE:0.72099125| RMSE:0.91142696
Iter:92| NaN num = 0
MAE:0.72099125| RMSE:0.91142696
Iter:93| NaN num = 0
MAE:0.72099125| RMSE:0.91142684
Iter:94| NaN num = 0
MAE:0.7209912| RMSE:0.9114268
Iter:95| NaN num = 0
MAE:0.72099096| RMSE:0.91142684
Iter:96| NaN num = 0
MAE:0.7209911| RMSE:0.91142666
Iter:97| NaN num = 0
MAE:0.720991| RMSE:0.91142654
Iter:98| NaN num = 0
MAE:0.720991| RMSE:0.9114266
Iter:99| NaN num = 0
MAE:0.720991| RMSE:0.9114266
NaN num = 0
MAE:0.72099096| RMSE:0.91142654
