d: 20
alpha_u: 0.01
alpha_v: 0.01
gamma: 0.8
fnTrainingData: ../ML1M/generality/copy2.train
fnTestData: ../ML1M/generality/copy2.test
fnOutputData: ./testResult/FPMF_0.001_0_1M_copy_2.txt
MinRating: 1.0
MaxRating: 5.0
n: 6040
m: 3952
num_iterations: 100
Iter:0| NaN num = 0
MAE:2.5824826| RMSE:2.8137915
Iter:1| NaN num = 0
MAE:2.5824826| RMSE:2.8137915
Iter:2| NaN num = 0
MAE:2.5824826| RMSE:2.8137915
Iter:3| NaN num = 0
MAE:2.5824826| RMSE:2.8137915
Iter:4| NaN num = 0
MAE:2.5824826| RMSE:2.8137915
Iter:5| NaN num = 0
MAE:2.5824826| RMSE:2.8137915
Iter:6| NaN num = 0
MAE:2.5824826| RMSE:2.8137915
Iter:7| NaN num = 0
MAE:2.5823271| RMSE:2.8135858
Iter:8| NaN num = 0
MAE:1.1679579| RMSE:1.3815473
Iter:9| NaN num = 0
MAE:0.9587018| RMSE:1.2501842
Iter:10| NaN num = 0
MAE:1.499294| RMSE:1.6999532
Iter:11| NaN num = 0
MAE:0.83371454| RMSE:1.0999789
Iter:12| NaN num = 0
MAE:0.9778163| RMSE:1.1597224
Iter:13| NaN num = 0
MAE:0.73234487| RMSE:0.95502645
Iter:14| NaN num = 0
MAE:0.74999464| RMSE:0.9295272
Iter:15| NaN num = 0
MAE:0.7154332| RMSE:0.9104955
Iter:16| NaN num = 0
MAE:0.7202433| RMSE:0.9097522
Iter:17| NaN num = 0
MAE:0.7188934| RMSE:0.9094342
Iter:18| NaN num = 0
MAE:0.71893007| RMSE:0.90939033
Iter:19| NaN num = 0
MAE:0.7188868| RMSE:0.90933746
Iter:20| NaN num = 0
MAE:0.7188511| RMSE:0.9092892
Iter:21| NaN num = 0
MAE:0.7188152| RMSE:0.9092459
Iter:22| NaN num = 0
MAE:0.7187834| RMSE:0.9092053
Iter:23| NaN num = 0
MAE:0.7187557| RMSE:0.909166
Iter:24| NaN num = 0
MAE:0.71872604| RMSE:0.90913093
Iter:25| NaN num = 0
MAE:0.71870136| RMSE:0.9090988
Iter:26| NaN num = 0
MAE:0.7186735| RMSE:0.9090678
Iter:27| NaN num = 0
MAE:0.718654| RMSE:0.90903974
Iter:28| NaN num = 0
MAE:0.7186342| RMSE:0.90901464
Iter:29| NaN num = 0
MAE:0.71861684| RMSE:0.9089929
Iter:30| NaN num = 0
MAE:0.7186003| RMSE:0.9089703
Iter:31| NaN num = 0
MAE:0.7185845| RMSE:0.90895116
Iter:32| NaN num = 0
MAE:0.71856993| RMSE:0.9089337
Iter:33| NaN num = 0
MAE:0.7185568| RMSE:0.9089175
Iter:34| NaN num = 0
MAE:0.7185444| RMSE:0.9089026
Iter:35| NaN num = 0
MAE:0.71853507| RMSE:0.90888953
Iter:36| NaN num = 0
MAE:0.7185256| RMSE:0.90887845
Iter:37| NaN num = 0
MAE:0.71851695| RMSE:0.90886784
Iter:38| NaN num = 0
MAE:0.71851015| RMSE:0.908857
Iter:39| NaN num = 0
MAE:0.71850365| RMSE:0.90884733
Iter:40| NaN num = 0
MAE:0.71849763| RMSE:0.90884024
Iter:41| NaN num = 0
MAE:0.7184919| RMSE:0.90883213
Iter:42| NaN num = 0
MAE:0.71848553| RMSE:0.9088259
Iter:43| NaN num = 0
MAE:0.71848196| RMSE:0.90882117
Iter:44| NaN num = 0
MAE:0.71847796| RMSE:0.9088148
Iter:45| NaN num = 0
MAE:0.7184748| RMSE:0.9088096
Iter:46| NaN num = 0
MAE:0.718471| RMSE:0.908805
Iter:47| NaN num = 0
MAE:0.7184685| RMSE:0.90880126
Iter:48| NaN num = 0
MAE:0.71846503| RMSE:0.9087977
Iter:49| NaN num = 0
MAE:0.7184629| RMSE:0.90879506
Iter:50| NaN num = 0
MAE:0.7184607| RMSE:0.90879214
Iter:51| NaN num = 0
