d: 20
alpha_u: 0.01
alpha_v: 0.01
gamma: 0.8
fnTrainingData: ../ML100K/generality/copy3.train
fnTestData: ../ML100K/generality/copy3.test
fnOutputData: ./testResult/FPMF_0.001_0_100K_copy_3.txt
MinRating: 1.0
MaxRating: 5.0
n: 943
m: 1682
num_iterations: 100
Iter:0| NaN num = 0
MAE:2.53265| RMSE:2.7731118
Iter:1| NaN num = 0
MAE:2.53265| RMSE:2.7731118
Iter:2| NaN num = 0
MAE:2.53265| RMSE:2.7731118
Iter:3| NaN num = 0
MAE:2.53265| RMSE:2.7731118
Iter:4| NaN num = 0
MAE:2.53265| RMSE:2.7731118
Iter:5| NaN num = 0
MAE:2.53265| RMSE:2.7731118
Iter:6| NaN num = 0
MAE:2.53265| RMSE:2.7731118
Iter:7| NaN num = 0
MAE:2.0164788| RMSE:2.2358792
Iter:8| NaN num = 0
MAE:1.0398933| RMSE:1.3484828
Iter:9| NaN num = 0
MAE:2.067607| RMSE:2.3234375
Iter:10| NaN num = 0
MAE:0.8160754| RMSE:1.0559194
Iter:11| NaN num = 0
MAE:0.84635234| RMSE:1.0386478
Iter:12| NaN num = 0
MAE:0.75144607| RMSE:0.9748941
Iter:13| NaN num = 0
MAE:0.7735921| RMSE:0.961823
Iter:14| NaN num = 0
MAE:0.7428556| RMSE:0.9485081
Iter:15| NaN num = 0
MAE:0.7492739| RMSE:0.94669515
Iter:16| NaN num = 0
MAE:0.74632335| RMSE:0.94606954
Iter:17| NaN num = 0
MAE:0.7466246| RMSE:0.9459553
Iter:18| NaN num = 0
MAE:0.7464879| RMSE:0.94583184
Iter:19| NaN num = 0
MAE:0.74638784| RMSE:0.9457172
Iter:20| NaN num = 0
MAE:0.746296| RMSE:0.94561505
Iter:21| NaN num = 0
MAE:0.7462127| RMSE:0.945519
Iter:22| NaN num = 0
MAE:0.74613446| RMSE:0.945433
Iter:23| NaN num = 0
MAE:0.7460653| RMSE:0.94535303
Iter:24| NaN num = 0
MAE:0.7460005| RMSE:0.9452814
Iter:25| NaN num = 0
MAE:0.7459413| RMSE:0.94521475
Iter:26| NaN num = 0
MAE:0.7458877| RMSE:0.94515437
Iter:27| NaN num = 0
MAE:0.7458396| RMSE:0.94509804
Iter:28| NaN num = 0
MAE:0.74579674| RMSE:0.9450495
Iter:29| NaN num = 0
MAE:0.74575466| RMSE:0.9450026
Iter:30| NaN num = 0
MAE:0.7457161| RMSE:0.94496065
Iter:31| NaN num = 0
MAE:0.7456811| RMSE:0.944922
Iter:32| NaN num = 0
MAE:0.74565154| RMSE:0.9448877
Iter:33| NaN num = 0
MAE:0.7456236| RMSE:0.94485635
Iter:34| NaN num = 0
MAE:0.74559766| RMSE:0.94482857
Iter:35| NaN num = 0
MAE:0.74557567| RMSE:0.94480246
Iter:36| NaN num = 0
MAE:0.74555445| RMSE:0.94478035
Iter:37| NaN num = 0
MAE:0.7455383| RMSE:0.9447586
Iter:38| NaN num = 0
MAE:0.7455208| RMSE:0.944739
Iter:39| NaN num = 0
MAE:0.74550515| RMSE:0.944723
Iter:40| NaN num = 0
MAE:0.74549204| RMSE:0.94470763
Iter:41| NaN num = 0
MAE:0.7454796| RMSE:0.9446927
Iter:42| NaN num = 0
MAE:0.74547106| RMSE:0.9446807
Iter:43| NaN num = 0
MAE:0.74545926| RMSE:0.9446691
Iter:44| NaN num = 0
MAE:0.74545| RMSE:0.9446594
Iter:45| NaN num = 0
MAE:0.74544185| RMSE:0.9446491
Iter:46| NaN num = 0
MAE:0.74543357| RMSE:0.94464123
Iter:47| NaN num = 0
MAE:0.74542737| RMSE:0.94463295
Iter:48| NaN num = 0
MAE:0.74542177| RMSE:0.94462615
Iter:49| NaN num = 0
MAE:0.74541616| RMSE:0.9446202
Iter:50| NaN num = 0
MAE:0.74541134| RMSE:0.9446141
Iter:51| NaN num = 0
MAE:0.74540627| RMSE:0.9446085
Iter:52| NaN num = 0
MAE:0.7454005| RMSE:0.94460493
Iter:53| NaN num = 0
MAE:0.74539655| RMSE:0.9446008
Iter:54| NaN num = 0
MAE:0.74539375| RMSE:0.9445968
Iter:55| NaN num = 0
MAE:0.7453909| RMSE:0.9445933
Iter:56| NaN num = 0
MAE:0.7453897| RMSE:0.94459057
Iter:57| NaN num = 0
MAE:0.7453874| RMSE:0.9445875
Iter:58| NaN num = 0
MAE:0.7453855| RMSE:0.9445858
Iter:59| NaN num = 0
MAE:0.7453831| RMSE:0.94458354
Iter:60| NaN num = 0
MAE:0.7453824| RMSE:0.94458133
Iter:61| NaN num = 0
MAE:0.7453815| RMSE:0.9445794
Iter:62| NaN num = 0
MAE:0.7453803| RMSE:0.94457805
Iter:63| NaN num = 0
MAE:0.74537957| RMSE:0.9445769
Iter:64| NaN num = 0
MAE:0.7453783| RMSE:0.94457537
Iter:65| NaN num = 0
MAE:0.7453769| RMSE:0.9445743
Iter:66| NaN num = 0
MAE:0.7453753| RMSE:0.9445734
Iter:67| NaN num = 0
MAE:0.7453745| RMSE:0.9445724
