d: 20
lambda: 0.001
delta_o: 0.0
gamma: 0.01
fnTrainingData: ../ML1M/generality/copy5.train
fnTestData: ../ML1M/generality/copy5.test
fnOutputData: ./testResult/FPMF_0.001_3_1M_copy_5.txt
MinRating: 1.0
MaxRating: 5.0
n: 6040
m: 3952
rho: 3.0
num_iterations: 100
Iter:0| MAE:2.581193| RMSE:2.8127556
Iter:1| MAE:1.5050442| RMSE:1.9354087
Iter:2| MAE:1.0404358| RMSE:1.4064379
Iter:3| MAE:0.86884683| RMSE:1.1520375
Iter:4| MAE:0.7973636| RMSE:1.0317965
Iter:5| MAE:0.7729623| RMSE:0.985378
Iter:6| MAE:0.7660258| RMSE:0.9730407
Iter:7| MAE:0.7619079| RMSE:0.96541435
Iter:8| MAE:0.75679964| RMSE:0.9596825
Iter:9| MAE:0.7543279| RMSE:0.9567431
Iter:10| MAE:0.75197536| RMSE:0.95384777
Iter:11| MAE:0.7491591| RMSE:0.95113784
Iter:12| MAE:0.7480659| RMSE:0.949736
Iter:13| MAE:0.74742514| RMSE:0.9489036
Iter:14| MAE:0.7463268| RMSE:0.94768673
Iter:15| MAE:0.74491394| RMSE:0.94626
Iter:16| MAE:0.7439568| RMSE:0.9448462
Iter:17| MAE:0.7424134| RMSE:0.9431064
Iter:18| MAE:0.74210423| RMSE:0.9428275
Iter:19| MAE:0.7410376| RMSE:0.9413089
Iter:20| MAE:0.7406157| RMSE:0.9408577
Iter:21| MAE:0.739868| RMSE:0.93976057
Iter:22| MAE:0.73906696| RMSE:0.9389462
Iter:23| MAE:0.73862636| RMSE:0.9384873
Iter:24| MAE:0.73777366| RMSE:0.9373877
Iter:25| MAE:0.73711133| RMSE:0.9367498
Iter:26| MAE:0.73695797| RMSE:0.93650496
Iter:27| MAE:0.73648995| RMSE:0.9358493
Iter:28| MAE:0.73615575| RMSE:0.9352703
Iter:29| MAE:0.7359517| RMSE:0.9350754
Iter:30| MAE:0.7356402| RMSE:0.93459326
Iter:31| MAE:0.7353434| RMSE:0.9342812
Iter:32| MAE:0.7350862| RMSE:0.9338996
Iter:33| MAE:0.73490083| RMSE:0.93356705
Iter:34| MAE:0.7348329| RMSE:0.93341374
Iter:35| MAE:0.7347219| RMSE:0.933285
Iter:36| MAE:0.7345767| RMSE:0.9330437
Iter:37| MAE:0.7342627| RMSE:0.9327056
Iter:38| MAE:0.7341791| RMSE:0.9325256
Iter:39| MAE:0.73404115| RMSE:0.93236893
Iter:40| MAE:0.73389953| RMSE:0.9321308
Iter:41| MAE:0.73386997| RMSE:0.93203336
Iter:42| MAE:0.7338401| RMSE:0.9319299
Iter:43| MAE:0.7337413| RMSE:0.93182594
