d: 20
lambda: 0.001
delta_o: 1.0
gamma: 0.01
fnTrainingData: ../ML1M/generality/copy3.train
fnTestData: ../ML1M/generality/copy3.test
fnOutputData: ./testResult/FSVD_0.001_0_1M_copy_3.txt
MinRating: 1.0
MaxRating: 5.0
n: 6040
m: 3952
rho: 0.0
num_iterations: 100
Iter:0| MAE:2.5823426| RMSE:2.8127823
Iter:1| MAE:0.87636316| RMSE:1.121318
Iter:2| MAE:0.8157467| RMSE:1.0242255
Iter:3| MAE:0.75434136| RMSE:0.9560693
Iter:4| MAE:0.72967887| RMSE:0.9232935
Iter:5| MAE:0.7100337| RMSE:0.90340155
Iter:6| MAE:0.6982044| RMSE:0.89512587
Iter:7| MAE:0.6934057| RMSE:0.88412124
Iter:8| MAE:0.6882617| RMSE:0.8788145
Iter:9| MAE:0.6843012| RMSE:0.8738913
Iter:10| MAE:0.6808536| RMSE:0.8698384
Iter:11| MAE:0.6782732| RMSE:0.8659853
Iter:12| MAE:0.6769716| RMSE:0.86397266
Iter:13| MAE:0.6748684| RMSE:0.8614618
Iter:14| MAE:0.67248136| RMSE:0.8602288
Iter:15| MAE:0.67106134| RMSE:0.8582307
Iter:16| MAE:0.6702307| RMSE:0.8569656
Iter:17| MAE:0.66899985| RMSE:0.85607576
Iter:18| MAE:0.66817397| RMSE:0.85524166
Iter:19| MAE:0.6672108| RMSE:0.85451674
Iter:20| MAE:0.6664962| RMSE:0.8536446
Iter:21| MAE:0.66642463| RMSE:0.8532838
Iter:22| MAE:0.66591936| RMSE:0.8529384
Iter:23| MAE:0.6659131| RMSE:0.85238904
Iter:24| MAE:0.66474605| RMSE:0.8520561
Iter:25| MAE:0.6647517| RMSE:0.8515477
Iter:26| MAE:0.66450787| RMSE:0.8512925
Iter:27| MAE:0.66424066| RMSE:0.85107994
Iter:28| MAE:0.66415405| RMSE:0.8510207
Iter:29| MAE:0.6638328| RMSE:0.8506774
Iter:30| MAE:0.6637998| RMSE:0.85053647
Iter:31| MAE:0.6633958| RMSE:0.8503661
Iter:32| MAE:0.663155| RMSE:0.8502485
Iter:33| MAE:0.6630515| RMSE:0.8501522
Iter:34| MAE:0.6630871| RMSE:0.85000765
Iter:35| MAE:0.66291267| RMSE:0.8499366
Iter:36| MAE:0.66305065| RMSE:0.8499148
Iter:37| MAE:0.66288227| RMSE:0.8498455
Iter:38| MAE:0.66271335| RMSE:0.8497683
Iter:39| MAE:0.66255295| RMSE:0.8497452
Iter:40| MAE:0.662761| RMSE:0.8496357
Iter:41| MAE:0.6626077| RMSE:0.8495905
Iter:42| MAE:0.66257423| RMSE:0.84953076
Iter:43| MAE:0.66253346| RMSE:0.8495138
Iter:44| MAE:0.662526| RMSE:0.8495112
Iter:45| MAE:0.6625984| RMSE:0.8495066
Iter:46| MAE:0.6625084| RMSE:0.849487
Iter:47| MAE:0.6625305| RMSE:0.84944785
Iter:48| MAE:0.66248715| RMSE:0.8494559
Iter:49| MAE:0.6624926| RMSE:0.84944504
Iter:50| MAE:0.662528| RMSE:0.84941596
Iter:51| MAE:0.6624766| RMSE:0.8494237
Iter:52| MAE:0.6625147| RMSE:0.84939545
Iter:53| MAE:0.6624557| RMSE:0.8493791
Iter:54| MAE:0.66243637| RMSE:0.8493646
Iter:55| MAE:0.6624363| RMSE:0.84934855
Iter:56| MAE:0.66235137| RMSE:0.849347
Iter:57| MAE:0.66236365| RMSE:0.84933186
Iter:58| MAE:0.6623445| RMSE:0.84931844
Iter:59| MAE:0.6624025| RMSE:0.8493119
Iter:60| MAE:0.6623442| RMSE:0.84931725
Iter:61| MAE:0.6623169| RMSE:0.8493074
Iter:62| MAE:0.662327| RMSE:0.849304
Iter:63| MAE:0.66235745| RMSE:0.8492972
Iter:64| MAE:0.66237146| RMSE:0.8492962
Iter:65| MAE:0.6623216| RMSE:0.8492931
Iter:66| MAE:0.6623489| RMSE:0.84928507
Iter:67| MAE:0.6622992| RMSE:0.8492835
Iter:68| MAE:0.6623494| RMSE:0.84927857
Iter:69| MAE:0.66231567| RMSE:0.84928364
Iter:70| MAE:0.66231215| RMSE:0.8492756
Iter:71| MAE:0.6623314| RMSE:0.84927666
