d: 20
lambda: 0.001
delta_o: 0.0
gamma: 0.01
fnTrainingData: ../ML1M/generality/copy4.train
fnTestData: ../ML1M/generality/copy4.test
fnOutputData: ./testResult/FPMF_0.001_2_1M_copy_4.txt
MinRating: 1.0
MaxRating: 5.0
n: 6040
m: 3952
rho: 2.0
num_iterations: 100
Iter:0| MAE:2.5821278| RMSE:2.813787
Iter:1| MAE:1.509731| RMSE:1.939513
Iter:2| MAE:1.042098| RMSE:1.4131942
Iter:3| MAE:0.8725818| RMSE:1.1601634
Iter:4| MAE:0.8066596| RMSE:1.0488667
Iter:5| MAE:0.7774694| RMSE:0.9962256
Iter:6| MAE:0.7670225| RMSE:0.9766559
Iter:7| MAE:0.75491786| RMSE:0.9582507
Iter:8| MAE:0.75048274| RMSE:0.95275754
Iter:9| MAE:0.74710816| RMSE:0.9487819
Iter:10| MAE:0.74460787| RMSE:0.94610226
Iter:11| MAE:0.74234456| RMSE:0.943358
Iter:12| MAE:0.74057925| RMSE:0.9412908
Iter:13| MAE:0.7391784| RMSE:0.939829
Iter:14| MAE:0.7374916| RMSE:0.93771565
Iter:15| MAE:0.7360031| RMSE:0.9360249
Iter:16| MAE:0.7350579| RMSE:0.93456477
Iter:17| MAE:0.734131| RMSE:0.93348175
Iter:18| MAE:0.7332421| RMSE:0.93272525
Iter:19| MAE:0.7324786| RMSE:0.93163115
Iter:20| MAE:0.73136073| RMSE:0.93027043
Iter:21| MAE:0.7307841| RMSE:0.92956454
Iter:22| MAE:0.7298371| RMSE:0.9283969
Iter:23| MAE:0.7293739| RMSE:0.92790276
Iter:24| MAE:0.728787| RMSE:0.9270607
Iter:25| MAE:0.728304| RMSE:0.9263826
Iter:26| MAE:0.72791797| RMSE:0.92579156
Iter:27| MAE:0.7276424| RMSE:0.9254318
Iter:28| MAE:0.72700727| RMSE:0.9247355
Iter:29| MAE:0.7269683| RMSE:0.92456526
Iter:30| MAE:0.72676075| RMSE:0.92414707
Iter:31| MAE:0.7263623| RMSE:0.9236692
Iter:32| MAE:0.7261451| RMSE:0.92324233
Iter:33| MAE:0.72588336| RMSE:0.9229973
Iter:34| MAE:0.7257137| RMSE:0.9227575
Iter:35| MAE:0.7255792| RMSE:0.9224595
Iter:36| MAE:0.72531724| RMSE:0.92215735
Iter:37| MAE:0.72516704| RMSE:0.9219516
Iter:38| MAE:0.7251596| RMSE:0.92181504
Iter:39| MAE:0.7250619| RMSE:0.921583
Iter:40| MAE:0.7250187| RMSE:0.9215195
Iter:41| MAE:0.7248632| RMSE:0.9213112
Iter:42| MAE:0.72478193| RMSE:0.9212242
Iter:43| MAE:0.7247474| RMSE:0.92113626
Iter:44| MAE:0.72467| RMSE:0.92100257
Iter:45| MAE:0.7245555| RMSE:0.92087716
Iter:46| MAE:0.72453994| RMSE:0.92083734
Iter:47| MAE:0.7244775| RMSE:0.92073643
Iter:48| MAE:0.72442657| RMSE:0.9206692
Iter:49| MAE:0.7244359| RMSE:0.9206174
Iter:50| MAE:0.7244012| RMSE:0.92055225
Iter:51| MAE:0.7243713| RMSE:0.9205025
Iter:52| MAE:0.724322| RMSE:0.92045
Iter:53| MAE:0.72433966| RMSE:0.920428
Iter:54| MAE:0.72431874| RMSE:0.92040396
Iter:55| MAE:0.7243254| RMSE:0.92038435
Iter:56| MAE:0.7243109| RMSE:0.92035514
Iter:57| MAE:0.72428495| RMSE:0.92032725
Iter:58| MAE:0.7242584| RMSE:0.9202958
Iter:59| MAE:0.7242412| RMSE:0.92025906
Iter:60| MAE:0.7242288| RMSE:0.92023665
Iter:61| MAE:0.72421837| RMSE:0.9202232
Iter:62| MAE:0.7242215| RMSE:0.9202091
Iter:63| MAE:0.7242126| RMSE:0.9201912
Iter:64| MAE:0.72420377| RMSE:0.9201867
Iter:65| MAE:0.72418404| RMSE:0.920171
Iter:66| MAE:0.724178| RMSE:0.9201548
Iter:67| MAE:0.72417927| RMSE:0.92014223
Iter:68| MAE:0.72417605| RMSE:0.92013377
Iter:69| MAE:0.72416526| RMSE:0.92012554
Iter:70| MAE:0.7241573| RMSE:0.92011696
Iter:71| MAE:0.72414804| RMSE:0.92010605
Iter:72| MAE:0.7241381| RMSE:0.9201028
Iter:73| MAE:0.724139| RMSE:0.9200974
Iter:74| MAE:0.7241384| RMSE:0.920093
Iter:75| MAE:0.7241348| RMSE:0.9200849
Iter:76| MAE:0.7241332| RMSE:0.9200804
Iter:77| MAE:0.7241356| RMSE:0.9200797
Iter:78| MAE:0.7241295| RMSE:0.9200776
Iter:79| MAE:0.7241316| RMSE:0.920074
Iter:80| MAE:0.7241259| RMSE:0.9200677
Iter:81| MAE:0.72412455| RMSE:0.9200644
Iter:82| MAE:0.72412354| RMSE:0.92006135
Iter:83| MAE:0.72412| RMSE:0.92005956
Iter:84| MAE:0.72412014| RMSE:0.92005825
Iter:85| MAE:0.72411895| RMSE:0.92005557
Iter:86| MAE:0.72411877| RMSE:0.92005205
Iter:87| MAE:0.7241187| RMSE:0.92005175
Iter:88| MAE:0.72411734| RMSE:0.9200497
Iter:89| MAE:0.7241184| RMSE:0.9200486
Iter:90| MAE:0.7241169| RMSE:0.9200478
Iter:91| MAE:0.724117| RMSE:0.9200452
Iter:92| MAE:0.72411495| RMSE:0.9200449
Iter:93| MAE:0.7241144| RMSE:0.92004323
Iter:94| MAE:0.724114| RMSE:0.9200425
Iter:95| MAE:0.7241139| RMSE:0.92004156
Iter:96| MAE:0.7241121| RMSE:0.9200397
Iter:97| MAE:0.72411144| RMSE:0.9200387
Iter:98| MAE:0.72411114| RMSE:0.9200378
Iter:99| MAE:0.72411007| RMSE:0.9200362
MAE:0.7241101| RMSE:0.9200337
