d: 20
lambda: 0.001
delta_o: 0.0
gamma: 0.01
fnTrainingData: ../ML100K/generality/copy5.train
fnTestData: ../ML100K/generality/copy5.test
fnOutputData: ./testResult/FPMF_0.001_0_100K_copy_5.txt
MinRating: 1.0
MaxRating: 5.0
n: 943
m: 1682
rho: 0.0
num_iterations: 100
Iter:0| MAE:2.53195| RMSE:2.7700632
Iter:1| MAE:2.012399| RMSE:2.3563106
Iter:2| MAE:1.3071573| RMSE:1.7038103
Iter:3| MAE:0.9663498| RMSE:1.2888591
Iter:4| MAE:0.86965686| RMSE:1.1499649
Iter:5| MAE:0.80758584| RMSE:1.0501685
Iter:6| MAE:0.7910239| RMSE:1.0220705
Iter:7| MAE:0.77876574| RMSE:1.0023558
Iter:8| MAE:0.7748441| RMSE:0.9954535
Iter:9| MAE:0.7637713| RMSE:0.9757389
Iter:10| MAE:0.76026875| RMSE:0.9714254
Iter:11| MAE:0.7591554| RMSE:0.9691971
Iter:12| MAE:0.7582234| RMSE:0.9673723
Iter:13| MAE:0.7568847| RMSE:0.9655642
Iter:14| MAE:0.7560987| RMSE:0.9640475
Iter:15| MAE:0.7549677| RMSE:0.96270704
Iter:16| MAE:0.75398016| RMSE:0.9607712
Iter:17| MAE:0.75303733| RMSE:0.95983124
Iter:18| MAE:0.75306404| RMSE:0.95921516
Iter:19| MAE:0.7525937| RMSE:0.9583036
Iter:20| MAE:0.75159526| RMSE:0.95765877
Iter:21| MAE:0.7519059| RMSE:0.9575886
Iter:22| MAE:0.751139| RMSE:0.95672435
Iter:23| MAE:0.75079113| RMSE:0.95630705
Iter:24| MAE:0.75064814| RMSE:0.9557877
Iter:25| MAE:0.750318| RMSE:0.9554148
Iter:26| MAE:0.7504472| RMSE:0.95545596
Iter:27| MAE:0.7501927| RMSE:0.95530343
Iter:28| MAE:0.7501223| RMSE:0.95523524
Iter:29| MAE:0.7499656| RMSE:0.95477015
Iter:30| MAE:0.7499005| RMSE:0.9546639
Iter:31| MAE:0.7495819| RMSE:0.9545158
Iter:32| MAE:0.7495997| RMSE:0.9541964
Iter:33| MAE:0.74948674| RMSE:0.9541265
Iter:34| MAE:0.74958634| RMSE:0.95402104
Iter:35| MAE:0.74929386| RMSE:0.9537624
Iter:36| MAE:0.74923134| RMSE:0.95372444
Iter:37| MAE:0.74917775| RMSE:0.9536844
Iter:38| MAE:0.74905354| RMSE:0.9536174
Iter:39| MAE:0.7489906| RMSE:0.95357454
Iter:40| MAE:0.7489374| RMSE:0.95354056
Iter:41| MAE:0.74878156| RMSE:0.95337623
Iter:42| MAE:0.74870366| RMSE:0.95329463
