d: 20
lambda: 0.001
delta_o: 0.0
gamma: 0.01
fnTrainingData: ../ML100K/generality/copy4.train
fnTestData: ../ML100K/generality/copy4.test
fnOutputData: ./testResult/FPMF_0.001_0_100K_copy_4.txt
MinRating: 1.0
MaxRating: 5.0
n: 943
m: 1682
rho: 0.0
num_iterations: 100
Iter:0| MAE:2.5244| RMSE:2.7652848
Iter:1| MAE:1.982558| RMSE:2.338468
Iter:2| MAE:1.2825294| RMSE:1.6809459
Iter:3| MAE:1.0199118| RMSE:1.3644433
Iter:4| MAE:0.8730616| RMSE:1.1569681
Iter:5| MAE:0.8175084| RMSE:1.0615844
Iter:6| MAE:0.7884646| RMSE:1.0191025
Iter:7| MAE:0.7751619| RMSE:0.9942719
Iter:8| MAE:0.7687898| RMSE:0.9843516
Iter:9| MAE:0.7639851| RMSE:0.9762789
Iter:10| MAE:0.7608852| RMSE:0.9726818
Iter:11| MAE:0.7608358| RMSE:0.97019374
Iter:12| MAE:0.7594509| RMSE:0.9677415
Iter:13| MAE:0.75883925| RMSE:0.96659136
Iter:14| MAE:0.75638986| RMSE:0.964024
Iter:15| MAE:0.7552122| RMSE:0.96219814
Iter:16| MAE:0.75445026| RMSE:0.96021616
Iter:17| MAE:0.75314534| RMSE:0.9595313
Iter:18| MAE:0.7531244| RMSE:0.95878935
Iter:19| MAE:0.752734| RMSE:0.9580248
Iter:20| MAE:0.752508| RMSE:0.95816106
Iter:21| MAE:0.75158167| RMSE:0.957204
Iter:22| MAE:0.75123435| RMSE:0.95676607
Iter:23| MAE:0.75171995| RMSE:0.9567098
Iter:24| MAE:0.75117916| RMSE:0.9562035
Iter:25| MAE:0.7509176| RMSE:0.95575076
Iter:26| MAE:0.7506929| RMSE:0.95532715
Iter:27| MAE:0.75097436| RMSE:0.955321
Iter:28| MAE:0.7505065| RMSE:0.9549671
Iter:29| MAE:0.7500014| RMSE:0.9546652
Iter:30| MAE:0.749941| RMSE:0.9547294
Iter:31| MAE:0.7500034| RMSE:0.9546085
Iter:32| MAE:0.74988496| RMSE:0.9544067
Iter:33| MAE:0.7498773| RMSE:0.9541227
Iter:34| MAE:0.7496073| RMSE:0.9538347
Iter:35| MAE:0.7494721| RMSE:0.95365256
Iter:36| MAE:0.7495777| RMSE:0.9536334
Iter:37| MAE:0.7493322| RMSE:0.9533965
Iter:38| MAE:0.7493177| RMSE:0.9534154
Iter:39| MAE:0.74922127| RMSE:0.953296
Iter:40| MAE:0.74910545| RMSE:0.95317847
Iter:41| MAE:0.7491719| RMSE:0.95310664
Iter:42| MAE:0.74916035| RMSE:0.9531273
Iter:43| MAE:0.74911726| RMSE:0.95309985
Iter:44| MAE:0.74915224| RMSE:0.9530982
Iter:45| MAE:0.7491629| RMSE:0.9531105
Iter:46| MAE:0.7491198| RMSE:0.95306545
Iter:47| MAE:0.74909| RMSE:0.95301884
Iter:48| MAE:0.74905497| RMSE:0.95297307
Iter:49| MAE:0.74902725| RMSE:0.9529352
Iter:50| MAE:0.7490444| RMSE:0.9528925
Iter:51| MAE:0.7490182| RMSE:0.95286334
Iter:52| MAE:0.7490001| RMSE:0.952825
Iter:53| MAE:0.7489493| RMSE:0.9527765
Iter:54| MAE:0.7489339| RMSE:0.95276046
Iter:55| MAE:0.7489061| RMSE:0.9527257
Iter:56| MAE:0.7489013| RMSE:0.9527164
Iter:57| MAE:0.74889535| RMSE:0.952723
Iter:58| MAE:0.7488864| RMSE:0.95271724
Iter:59| MAE:0.7488653| RMSE:0.9527014
Iter:60| MAE:0.74885345| RMSE:0.95268524
Iter:61| MAE:0.7488379| RMSE:0.9526738
Iter:62| MAE:0.74883914| RMSE:0.95267004
Iter:63| MAE:0.74882513| RMSE:0.9526593
Iter:64| MAE:0.74880993| RMSE:0.95264953
Iter:65| MAE:0.74879694| RMSE:0.9526403
Iter:66| MAE:0.7487978| RMSE:0.9526316
Iter:67| MAE:0.7487896| RMSE:0.9526279
Iter:68| MAE:0.7487878| RMSE:0.9526238
Iter:69| MAE:0.74877775| RMSE:0.9526173
Iter:70| MAE:0.7487782| RMSE:0.95261264
Iter:71| MAE:0.7487719| RMSE:0.95260644
Iter:72| MAE:0.74876636| RMSE:0.9526036
Iter:73| MAE:0.74876493| RMSE:0.9526007
Iter:74| MAE:0.74876183| RMSE:0.95259875
Iter:75| MAE:0.7487634| RMSE:0.9525973
Iter:76| MAE:0.74876106| RMSE:0.9525962
Iter:77| MAE:0.7487602| RMSE:0.95259434
Iter:78| MAE:0.7487584| RMSE:0.9525934
Iter:79| MAE:0.7487551| RMSE:0.95259225
Iter:80| MAE:0.7487573| RMSE:0.95259005
Iter:81| MAE:0.7487597| RMSE:0.95259005
Iter:82| MAE:0.74875945| RMSE:0.95258963
Iter:83| MAE:0.74875766| RMSE:0.9525909
Iter:84| MAE:0.7487588| RMSE:0.9525897
Iter:85| MAE:0.7487577| RMSE:0.95258933
Iter:86| MAE:0.7487589| RMSE:0.9525878
Iter:87| MAE:0.74875754| RMSE:0.9525862
Iter:88| MAE:0.74875677| RMSE:0.95258534
Iter:89| MAE:0.748755| RMSE:0.95258623
Iter:90| MAE:0.748756| RMSE:0.9525851
Iter:91| MAE:0.7487551| RMSE:0.952585
Iter:92| MAE:0.7487549| RMSE:0.95258355
Iter:93| MAE:0.7487548| RMSE:0.9525833
Iter:94| MAE:0.74875456| RMSE:0.952583
Iter:95| MAE:0.7487553| RMSE:0.95258343
Iter:96| MAE:0.74875474| RMSE:0.9525829
Iter:97| MAE:0.7487543| RMSE:0.95258236
Iter:98| MAE:0.7487538| RMSE:0.95258254
Iter:99| MAE:0.7487538| RMSE:0.9525825
MAE:0.748754| RMSE:0.952583
