d: 20
lambda: 0.001
delta_o: 1.0
gamma: 0.01
fnTrainingData: ../ML1M/generality/copy1.train
fnTestData: ../ML1M/generality/copy1.test
fnOutputData: ./testResult/FSVD_0.001_0_1M_copy_1.txt
MinRating: 1.0
MaxRating: 5.0
n: 6040
m: 3952
rho: 0.0
num_iterations: 100
Iter:0| MAE:2.5796762| RMSE:2.811369
Iter:1| MAE:0.8796055| RMSE:1.1174293
Iter:2| MAE:0.79559886| RMSE:1.0165163
Iter:3| MAE:0.75137556| RMSE:0.9598236
Iter:4| MAE:0.72615| RMSE:0.9265483
Iter:5| MAE:0.7119353| RMSE:0.9079968
Iter:6| MAE:0.7030437| RMSE:0.89569765
Iter:7| MAE:0.69397026| RMSE:0.8883325
Iter:8| MAE:0.68934566| RMSE:0.8831243
Iter:9| MAE:0.6865039| RMSE:0.8762013
Iter:10| MAE:0.683841| RMSE:0.87253934
Iter:11| MAE:0.68039143| RMSE:0.86930233
Iter:12| MAE:0.67696553| RMSE:0.8657995
Iter:13| MAE:0.6752054| RMSE:0.86446553
Iter:14| MAE:0.6739945| RMSE:0.8625224
Iter:15| MAE:0.67248935| RMSE:0.8612315
Iter:16| MAE:0.67162997| RMSE:0.85988045
Iter:17| MAE:0.67077804| RMSE:0.8585819
Iter:18| MAE:0.6696083| RMSE:0.8579552
Iter:19| MAE:0.6685916| RMSE:0.8567622
Iter:20| MAE:0.66823393| RMSE:0.85620826
Iter:21| MAE:0.6676846| RMSE:0.855504
Iter:22| MAE:0.6678763| RMSE:0.85502833
Iter:23| MAE:0.66668934| RMSE:0.8546322
Iter:24| MAE:0.666342| RMSE:0.8540405
Iter:25| MAE:0.6661025| RMSE:0.8536913
Iter:26| MAE:0.6657133| RMSE:0.853401
Iter:27| MAE:0.6652328| RMSE:0.8530873
Iter:28| MAE:0.6650652| RMSE:0.8529394
Iter:29| MAE:0.6651541| RMSE:0.8526333
Iter:30| MAE:0.6648694| RMSE:0.8523881
Iter:31| MAE:0.66484076| RMSE:0.8522084
Iter:32| MAE:0.66469646| RMSE:0.85217994
Iter:33| MAE:0.66436774| RMSE:0.8521068
Iter:34| MAE:0.6642286| RMSE:0.85192066
Iter:35| MAE:0.66431403| RMSE:0.8518497
Iter:36| MAE:0.66409993| RMSE:0.85177594
Iter:37| MAE:0.66407925| RMSE:0.8517234
Iter:38| MAE:0.6640494| RMSE:0.8515746
Iter:39| MAE:0.6639479| RMSE:0.8515395
Iter:40| MAE:0.66393626| RMSE:0.8515539
Iter:41| MAE:0.6637867| RMSE:0.8514966
Iter:42| MAE:0.6637074| RMSE:0.85147166
Iter:43| MAE:0.66366315| RMSE:0.8513994
Iter:44| MAE:0.66368806| RMSE:0.85141075
Iter:45| MAE:0.6637325| RMSE:0.85136473
Iter:46| MAE:0.663672| RMSE:0.851343
Iter:47| MAE:0.6636506| RMSE:0.8513053
Iter:48| MAE:0.66363823| RMSE:0.8513134
Iter:49| MAE:0.6636649| RMSE:0.85128075
Iter:50| MAE:0.66364604| RMSE:0.85126096
Iter:51| MAE:0.6636075| RMSE:0.8512336
Iter:52| MAE:0.66360474| RMSE:0.8512238
Iter:53| MAE:0.66358984| RMSE:0.8512207
Iter:54| MAE:0.6635901| RMSE:0.8512137
Iter:55| MAE:0.6635459| RMSE:0.85120755
Iter:56| MAE:0.6635539| RMSE:0.85119367
Iter:57| MAE:0.6635108| RMSE:0.8511915
Iter:58| MAE:0.66354954| RMSE:0.8511736
Iter:59| MAE:0.66354656| RMSE:0.85116446
Iter:60| MAE:0.6635135| RMSE:0.851172
Iter:61| MAE:0.66352034| RMSE:0.8511635
Iter:62| MAE:0.66351575| RMSE:0.8511573
Iter:63| MAE:0.663529| RMSE:0.85115397
Iter:64| MAE:0.6634877| RMSE:0.8511563
Iter:65| MAE:0.6634982| RMSE:0.85115266
Iter:66| MAE:0.6635135| RMSE:0.8511539
Iter:67| MAE:0.6635107| RMSE:0.8511466
Iter:68| MAE:0.6635103| RMSE:0.8511476
Iter:69| MAE:0.6635104| RMSE:0.8511498
Iter:70| MAE:0.6635014| RMSE:0.85114163
Iter:71| MAE:0.6634957| RMSE:0.8511453
Iter:72| MAE:0.6634754| RMSE:0.85114574
Iter:73| MAE:0.6634622| RMSE:0.85114664
Iter:74| MAE:0.6634668| RMSE:0.8511455
Iter:75| MAE:0.66347486| RMSE:0.85114276
Iter:76| MAE:0.66347104| RMSE:0.85114
Iter:77| MAE:0.663469| RMSE:0.8511408
Iter:78| MAE:0.66346014| RMSE:0.8511424
Iter:79| MAE:0.6634779| RMSE:0.8511395
Iter:80| MAE:0.6634653| RMSE:0.8511407
Iter:81| MAE:0.6634521| RMSE:0.8511428
Iter:82| MAE:0.6634706| RMSE:0.851139
Iter:83| MAE:0.6634704| RMSE:0.85113764
Iter:84| MAE:0.6634643| RMSE:0.85113776
Iter:85| MAE:0.66346765| RMSE:0.85113955
Iter:86| MAE:0.66347694| RMSE:0.8511377
Iter:87| MAE:0.6634732| RMSE:0.85113764
Iter:88| MAE:0.66346884| RMSE:0.8511393
Iter:89| MAE:0.6634661| RMSE:0.8511422
Iter:90| MAE:0.6634694| RMSE:0.8511404
Iter:91| MAE:0.6634724| RMSE:0.8511402
Iter:92| MAE:0.6634722| RMSE:0.8511404
Iter:93| MAE:0.66347766| RMSE:0.8511373
Iter:94| MAE:0.6634839| RMSE:0.8511352
Iter:95| MAE:0.6634894| RMSE:0.8511345
Iter:96| MAE:0.66349477| RMSE:0.8511333
Iter:97| MAE:0.66350687| RMSE:0.8511313
Iter:98| MAE:0.66350883| RMSE:0.8511338
Iter:99| MAE:0.66351104| RMSE:0.8511329
MAE:0.6635129| RMSE:0.8511333
