d: 20
lambda: 0.001
delta_o: 0.0
gamma: 0.01
fnTrainingData: ../ML1M/generality/copy4.train
fnTestData: ../ML1M/generality/copy4.test
fnOutputData: ./testResult/FPMF_0.001_1_1M_copy_4.txt
MinRating: 1.0
MaxRating: 5.0
n: 6040
m: 3952
rho: 1.0
num_iterations: 100
Iter:0| MAE:2.5821278| RMSE:2.813787
Iter:1| MAE:1.561237| RMSE:1.9888014
Iter:2| MAE:1.0535952| RMSE:1.4309918
Iter:3| MAE:0.86390793| RMSE:1.1542417
Iter:4| MAE:0.7913456| RMSE:1.0293156
Iter:5| MAE:0.77055544| RMSE:0.9901398
Iter:6| MAE:0.75674015| RMSE:0.9666837
Iter:7| MAE:0.74738413| RMSE:0.951146
Iter:8| MAE:0.74175584| RMSE:0.9432326
Iter:9| MAE:0.73746186| RMSE:0.9383365
Iter:10| MAE:0.7339383| RMSE:0.9342849
Iter:11| MAE:0.73098785| RMSE:0.93069005
Iter:12| MAE:0.72873986| RMSE:0.9278592
Iter:13| MAE:0.72766453| RMSE:0.9262205
Iter:14| MAE:0.72584075| RMSE:0.92459756
Iter:15| MAE:0.7243652| RMSE:0.92253447
Iter:16| MAE:0.7232618| RMSE:0.92089164
Iter:17| MAE:0.7220641| RMSE:0.91944015
Iter:18| MAE:0.72094274| RMSE:0.91796505
Iter:19| MAE:0.7202165| RMSE:0.91704655
Iter:20| MAE:0.71963316| RMSE:0.91616595
Iter:21| MAE:0.71889573| RMSE:0.9151032
Iter:22| MAE:0.718011| RMSE:0.91423213
Iter:23| MAE:0.7173396| RMSE:0.91312426
Iter:24| MAE:0.7167178| RMSE:0.9123615
Iter:25| MAE:0.7165136| RMSE:0.91178733
Iter:26| MAE:0.7158954| RMSE:0.9110776
Iter:27| MAE:0.7154422| RMSE:0.9103204
Iter:28| MAE:0.71473336| RMSE:0.909495
Iter:29| MAE:0.714493| RMSE:0.9090953
Iter:30| MAE:0.7142176| RMSE:0.9087942
Iter:31| MAE:0.7139338| RMSE:0.9082959
Iter:32| MAE:0.71376175| RMSE:0.9080465
Iter:33| MAE:0.7135192| RMSE:0.9076776
Iter:34| MAE:0.7133079| RMSE:0.90735346
Iter:35| MAE:0.7131181| RMSE:0.90699077
Iter:36| MAE:0.712873| RMSE:0.9067339
Iter:37| MAE:0.712745| RMSE:0.9065546
Iter:38| MAE:0.7126476| RMSE:0.9063799
Iter:39| MAE:0.71256506| RMSE:0.9062305
Iter:40| MAE:0.7124293| RMSE:0.90606505
Iter:41| MAE:0.71236604| RMSE:0.905988
Iter:42| MAE:0.71226674| RMSE:0.90585434
Iter:43| MAE:0.7121601| RMSE:0.90570426
Iter:44| MAE:0.7121162| RMSE:0.905598
Iter:45| MAE:0.71204627| RMSE:0.9054749
Iter:46| MAE:0.71197516| RMSE:0.90537876
Iter:47| MAE:0.7119283| RMSE:0.9052814
Iter:48| MAE:0.7118594| RMSE:0.9052109
Iter:49| MAE:0.7118375| RMSE:0.9051328
Iter:50| MAE:0.71179706| RMSE:0.90509874
Iter:51| MAE:0.71175265| RMSE:0.9050148
Iter:52| MAE:0.71172327| RMSE:0.9049702
Iter:53| MAE:0.7116777| RMSE:0.90492195
Iter:54| MAE:0.7116516| RMSE:0.9048868
Iter:55| MAE:0.71162796| RMSE:0.9048451
Iter:56| MAE:0.71160877| RMSE:0.90482324
Iter:57| MAE:0.71159345| RMSE:0.90478855
Iter:58| MAE:0.7115652| RMSE:0.90475285
Iter:59| MAE:0.7115527| RMSE:0.9047288
Iter:60| MAE:0.7115438| RMSE:0.9047077
Iter:61| MAE:0.7115383| RMSE:0.9046821
Iter:62| MAE:0.71153766| RMSE:0.9046648
Iter:63| MAE:0.7115311| RMSE:0.90464616
Iter:64| MAE:0.71152526| RMSE:0.90463793
Iter:65| MAE:0.71151644| RMSE:0.90461516
Iter:66| MAE:0.711517| RMSE:0.90460265
Iter:67| MAE:0.71151394| RMSE:0.9045883
Iter:68| MAE:0.71149486| RMSE:0.9045728
Iter:69| MAE:0.7114958| RMSE:0.90456355
Iter:70| MAE:0.7114927| RMSE:0.9045569
Iter:71| MAE:0.71148825| RMSE:0.90454936
Iter:72| MAE:0.71148366| RMSE:0.90453994
Iter:73| MAE:0.7114825| RMSE:0.9045355
Iter:74| MAE:0.71147573| RMSE:0.904531
Iter:75| MAE:0.711474| RMSE:0.9045286
Iter:76| MAE:0.7114727| RMSE:0.90452147
Iter:77| MAE:0.71146786| RMSE:0.90451974
Iter:78| MAE:0.7114671| RMSE:0.90451366
Iter:79| MAE:0.7114659| RMSE:0.9045128
Iter:80| MAE:0.71145976| RMSE:0.90451056
Iter:81| MAE:0.71145904| RMSE:0.90450615
Iter:82| MAE:0.71145654| RMSE:0.904505
Iter:83| MAE:0.711455| RMSE:0.9045032
Iter:84| MAE:0.71145326| RMSE:0.90450174
Iter:85| MAE:0.7114515| RMSE:0.9045007
Iter:86| MAE:0.7114502| RMSE:0.90450054
Iter:87| MAE:0.7114478| RMSE:0.9044985
Iter:88| MAE:0.7114488| RMSE:0.90449625
Iter:89| MAE:0.71144557| RMSE:0.9044955
Iter:90| MAE:0.71144766| RMSE:0.90449315
Iter:91| MAE:0.71144646| RMSE:0.90449154
Iter:92| MAE:0.7114442| RMSE:0.9044901
Iter:93| MAE:0.7114437| RMSE:0.9044892
Iter:94| MAE:0.71144295| RMSE:0.90448916
Iter:95| MAE:0.7114432| RMSE:0.90448886
Iter:96| MAE:0.7114435| RMSE:0.9044884
Iter:97| MAE:0.71144146| RMSE:0.9044874
Iter:98| MAE:0.71144176| RMSE:0.90448654
Iter:99| MAE:0.71144205| RMSE:0.9044861
MAE:0.71144116| RMSE:0.9044852
