d: 20
lambda: 0.001
delta_o: 0.0
gamma: 0.01
fnTrainingData: ../ML100K/generality/copy1.train
fnTestData: ../ML100K/generality/copy1.test
fnOutputData: ./testResult/FPMF_0.001_0_100K_copy_1.txt
MinRating: 1.0
MaxRating: 5.0
n: 943
m: 1682
rho: 0.0
num_iterations: 100
Iter:0| MAE:2.5237| RMSE:2.7655017
Iter:1| MAE:2.1523924| RMSE:2.47077
Iter:2| MAE:1.370392| RMSE:1.7690381
Iter:3| MAE:1.0481143| RMSE:1.4055822
Iter:4| MAE:0.8771801| RMSE:1.155984
Iter:5| MAE:0.81698996| RMSE:1.0597433
Iter:6| MAE:0.78996897| RMSE:1.0164146
Iter:7| MAE:0.77773076| RMSE:0.9981961
Iter:8| MAE:0.770633| RMSE:0.98893416
Iter:9| MAE:0.7682731| RMSE:0.98493177
Iter:10| MAE:0.7660191| RMSE:0.98158854
Iter:11| MAE:0.7644931| RMSE:0.9786901
Iter:12| MAE:0.7640056| RMSE:0.97779524
Iter:13| MAE:0.7636754| RMSE:0.97662383
Iter:14| MAE:0.7618929| RMSE:0.9752269
Iter:15| MAE:0.76177806| RMSE:0.97421044
Iter:16| MAE:0.76163137| RMSE:0.9739158
Iter:17| MAE:0.76044196| RMSE:0.97257465
Iter:18| MAE:0.76037914| RMSE:0.9721887
Iter:19| MAE:0.76035035| RMSE:0.97181165
Iter:20| MAE:0.7594871| RMSE:0.9708638
Iter:21| MAE:0.7589261| RMSE:0.96996695
Iter:22| MAE:0.75869304| RMSE:0.9700601
Iter:23| MAE:0.7585543| RMSE:0.9696945
Iter:24| MAE:0.75894934| RMSE:0.969588
Iter:25| MAE:0.7584811| RMSE:0.9687471
Iter:26| MAE:0.75853294| RMSE:0.96867067
Iter:27| MAE:0.75840235| RMSE:0.9683522
Iter:28| MAE:0.75814855| RMSE:0.96814823
Iter:29| MAE:0.7579609| RMSE:0.96785593
Iter:30| MAE:0.75770324| RMSE:0.9675198
Iter:31| MAE:0.7576037| RMSE:0.96770984
Iter:32| MAE:0.7574272| RMSE:0.96768534
Iter:33| MAE:0.7574393| RMSE:0.96740675
Iter:34| MAE:0.757344| RMSE:0.96715677
Iter:35| MAE:0.7572301| RMSE:0.9669845
Iter:36| MAE:0.7570656| RMSE:0.96676016
Iter:37| MAE:0.7572241| RMSE:0.9666588
Iter:38| MAE:0.7571145| RMSE:0.9666838
Iter:39| MAE:0.7571169| RMSE:0.9665568
Iter:40| MAE:0.75705534| RMSE:0.966409
Iter:41| MAE:0.7569915| RMSE:0.96637255
Iter:42| MAE:0.756916| RMSE:0.9663131
Iter:43| MAE:0.75694686| RMSE:0.9663027
Iter:44| MAE:0.7569604| RMSE:0.96627504
Iter:45| MAE:0.75697005| RMSE:0.96627706
Iter:46| MAE:0.7568722| RMSE:0.96621084
Iter:47| MAE:0.75683| RMSE:0.96617746
Iter:48| MAE:0.75679123| RMSE:0.9661475
Iter:49| MAE:0.7568047| RMSE:0.96612567
Iter:50| MAE:0.7567961| RMSE:0.96611017
Iter:51| MAE:0.7567674| RMSE:0.96606934
Iter:52| MAE:0.75671875| RMSE:0.9660561
Iter:53| MAE:0.7567058| RMSE:0.96603435
Iter:54| MAE:0.75668913| RMSE:0.96603775
Iter:55| MAE:0.756693| RMSE:0.9660479
Iter:56| MAE:0.75668174| RMSE:0.96606016
Iter:57| MAE:0.75669724| RMSE:0.966041
Iter:58| MAE:0.7566972| RMSE:0.96602166
Iter:59| MAE:0.7567035| RMSE:0.9660256
Iter:60| MAE:0.7567092| RMSE:0.966031
Iter:61| MAE:0.7567086| RMSE:0.96603245
Iter:62| MAE:0.7567133| RMSE:0.9660251
Iter:63| MAE:0.7567034| RMSE:0.9660159
Iter:64| MAE:0.75670165| RMSE:0.9660074
Iter:65| MAE:0.75669396| RMSE:0.9659998
Iter:66| MAE:0.7566954| RMSE:0.9659942
Iter:67| MAE:0.7566946| RMSE:0.9659911
Iter:68| MAE:0.7567003| RMSE:0.9659889
Iter:69| MAE:0.7566983| RMSE:0.9659866
Iter:70| MAE:0.75669533| RMSE:0.9659802
Iter:71| MAE:0.7566908| RMSE:0.96597725
Iter:72| MAE:0.75668436| RMSE:0.96597654
Iter:73| MAE:0.75668585| RMSE:0.96597517
Iter:74| MAE:0.75668675| RMSE:0.9659745
