d: 20
lambda: 0.001
delta_o: 1.0
gamma: 0.01
fnTrainingData: ../ML100K/generality/copy4.train
fnTestData: ../ML100K/generality/copy4.test
fnOutputData: ./testResult/FSVD_0.001_0_100K_copy_4.txt
MinRating: 1.0
MaxRating: 5.0
n: 943
m: 1682
rho: 0.0
num_iterations: 100
Iter:0| MAE:2.5244| RMSE:2.7652848
Iter:1| MAE:0.92833513| RMSE:1.178678
Iter:2| MAE:0.85264796| RMSE:1.0768381
Iter:3| MAE:0.80916464| RMSE:1.0311457
Iter:4| MAE:0.7885244| RMSE:1.0015645
Iter:5| MAE:0.77295244| RMSE:0.9820609
Iter:6| MAE:0.7654413| RMSE:0.977835
Iter:7| MAE:0.75548095| RMSE:0.96445906
Iter:8| MAE:0.7536426| RMSE:0.9571159
Iter:9| MAE:0.74536854| RMSE:0.9488504
Iter:10| MAE:0.7440816| RMSE:0.9453068
Iter:11| MAE:0.73744345| RMSE:0.93972903
Iter:12| MAE:0.735268| RMSE:0.9367521
Iter:13| MAE:0.7360552| RMSE:0.9373673
Iter:14| MAE:0.732854| RMSE:0.93476
Iter:15| MAE:0.7330926| RMSE:0.9331597
Iter:16| MAE:0.73043114| RMSE:0.9313289
Iter:17| MAE:0.72873443| RMSE:0.9288843
Iter:18| MAE:0.72826296| RMSE:0.92702127
Iter:19| MAE:0.7274351| RMSE:0.92701787
Iter:20| MAE:0.7270191| RMSE:0.92640144
Iter:21| MAE:0.7256202| RMSE:0.9251912
Iter:22| MAE:0.724918| RMSE:0.9241165
Iter:23| MAE:0.7239741| RMSE:0.9238546
Iter:24| MAE:0.7245988| RMSE:0.9233957
Iter:25| MAE:0.72379833| RMSE:0.9230268
Iter:26| MAE:0.7235679| RMSE:0.9225716
Iter:27| MAE:0.72323364| RMSE:0.9227362
Iter:28| MAE:0.72317433| RMSE:0.9220145
Iter:29| MAE:0.7224916| RMSE:0.92156184
Iter:30| MAE:0.7222426| RMSE:0.92123586
Iter:31| MAE:0.72210944| RMSE:0.92112374
Iter:32| MAE:0.7218985| RMSE:0.9210342
Iter:33| MAE:0.7220199| RMSE:0.9210631
Iter:34| MAE:0.72180486| RMSE:0.92086065
Iter:35| MAE:0.7217447| RMSE:0.9205129
Iter:36| MAE:0.7215829| RMSE:0.92040884
Iter:37| MAE:0.7213729| RMSE:0.9203208
Iter:38| MAE:0.72123677| RMSE:0.92019117
Iter:39| MAE:0.7211337| RMSE:0.9201609
Iter:40| MAE:0.72119474| RMSE:0.9199709
Iter:41| MAE:0.72096705| RMSE:0.9197691
Iter:42| MAE:0.7208645| RMSE:0.91981256
Iter:43| MAE:0.7209598| RMSE:0.9197685
Iter:44| MAE:0.72094744| RMSE:0.91976
Iter:45| MAE:0.7208737| RMSE:0.9195757
Iter:46| MAE:0.7207602| RMSE:0.919586
Iter:47| MAE:0.72070813| RMSE:0.9194436
Iter:48| MAE:0.7205984| RMSE:0.9194041
Iter:49| MAE:0.72060686| RMSE:0.9193742
Iter:50| MAE:0.72054255| RMSE:0.9194144
Iter:51| MAE:0.720543| RMSE:0.9194344
Iter:52| MAE:0.72060466| RMSE:0.9193798
Iter:53| MAE:0.7206209| RMSE:0.919356
Iter:54| MAE:0.72060394| RMSE:0.9193152
Iter:55| MAE:0.7205615| RMSE:0.9193074
Iter:56| MAE:0.7205013| RMSE:0.91928583
Iter:57| MAE:0.7205534| RMSE:0.91925085
Iter:58| MAE:0.72051203| RMSE:0.9192609
Iter:59| MAE:0.7205386| RMSE:0.91924375
Iter:60| MAE:0.7205252| RMSE:0.9192537
Iter:61| MAE:0.72054| RMSE:0.9192461
Iter:62| MAE:0.7205457| RMSE:0.91923416
Iter:63| MAE:0.72053766| RMSE:0.91923594
Iter:64| MAE:0.72053266| RMSE:0.9192184
Iter:65| MAE:0.720531| RMSE:0.91923016
Iter:66| MAE:0.72052044| RMSE:0.919225
Iter:67| MAE:0.72052336| RMSE:0.9192148
Iter:68| MAE:0.72051495| RMSE:0.9192143
Iter:69| MAE:0.7205212| RMSE:0.9192156
Iter:70| MAE:0.72052145| RMSE:0.91922057
Iter:71| MAE:0.7205292| RMSE:0.9192187
Iter:72| MAE:0.72053015| RMSE:0.9192118
Iter:73| MAE:0.7205531| RMSE:0.919207
Iter:74| MAE:0.7205347| RMSE:0.9192094
Iter:75| MAE:0.7205353| RMSE:0.91920626
Iter:76| MAE:0.72053665| RMSE:0.91920507
Iter:77| MAE:0.7205323| RMSE:0.9192078
Iter:78| MAE:0.72053| RMSE:0.91920227
Iter:79| MAE:0.72052807| RMSE:0.91920274
Iter:80| MAE:0.7205277| RMSE:0.9191986
Iter:81| MAE:0.72052985| RMSE:0.9191969
Iter:82| MAE:0.72052914| RMSE:0.9191959
Iter:83| MAE:0.72052556| RMSE:0.91919696
Iter:84| MAE:0.7205287| RMSE:0.9191934
Iter:85| MAE:0.7205284| RMSE:0.919193
Iter:86| MAE:0.7205291| RMSE:0.9191935
Iter:87| MAE:0.72052515| RMSE:0.91919476
Iter:88| MAE:0.7205242| RMSE:0.91919476
Iter:89| MAE:0.72052383| RMSE:0.91919476
Iter:90| MAE:0.7205256| RMSE:0.9191937
Iter:91| MAE:0.72052586| RMSE:0.91919374
Iter:92| MAE:0.7205263| RMSE:0.91919243
Iter:93| MAE:0.7205291| RMSE:0.91919184
Iter:94| MAE:0.72053164| RMSE:0.9191905
Iter:95| MAE:0.72053456| RMSE:0.91918904
Iter:96| MAE:0.72053504| RMSE:0.9191895
Iter:97| MAE:0.7205383| RMSE:0.9191887
Iter:98| MAE:0.7205396| RMSE:0.91918766
Iter:99| MAE:0.72053903| RMSE:0.91918707
MAE:0.72053945| RMSE:0.91918635
