d: 20
lambda: 0.001
delta_o: 0.0
gamma: 0.01
fnTrainingData: ../ML1M/generality/copy1.train
fnTestData: ../ML1M/generality/copy1.test
fnOutputData: ./testResult/FPMF_0.001_3_1M_copy_1.txt
MinRating: 1.0
MaxRating: 5.0
n: 6040
m: 3952
rho: 3.0
num_iterations: 100
Iter:0| MAE:2.5796762| RMSE:2.811369
Iter:1| MAE:1.5371183| RMSE:1.9661447
Iter:2| MAE:1.0562866| RMSE:1.4253038
Iter:3| MAE:0.88249886| RMSE:1.1692921
Iter:4| MAE:0.81503284| RMSE:1.053996
Iter:5| MAE:0.78369856| RMSE:1.0016907
Iter:6| MAE:0.7712092| RMSE:0.9784148
Iter:7| MAE:0.76710045| RMSE:0.9727538
Iter:8| MAE:0.7625785| RMSE:0.96586996
Iter:9| MAE:0.75820863| RMSE:0.9603424
Iter:10| MAE:0.7556101| RMSE:0.9575061
Iter:11| MAE:0.753229| RMSE:0.95509756
Iter:12| MAE:0.7507044| RMSE:0.9513785
Iter:13| MAE:0.749265| RMSE:0.9500001
Iter:14| MAE:0.74762714| RMSE:0.9483385
Iter:15| MAE:0.7460926| RMSE:0.94680697
Iter:16| MAE:0.74516577| RMSE:0.94530636
Iter:17| MAE:0.7441054| RMSE:0.94435936
Iter:18| MAE:0.74307925| RMSE:0.9428721
Iter:19| MAE:0.74223495| RMSE:0.9420047
Iter:20| MAE:0.7416071| RMSE:0.94115984
Iter:21| MAE:0.7407128| RMSE:0.94022876
Iter:22| MAE:0.7399464| RMSE:0.93933713
Iter:23| MAE:0.7393476| RMSE:0.93865514
Iter:24| MAE:0.73866343| RMSE:0.9377269
Iter:25| MAE:0.7381146| RMSE:0.9371473
Iter:26| MAE:0.7378279| RMSE:0.936759
Iter:27| MAE:0.7371724| RMSE:0.9360396
Iter:28| MAE:0.7369884| RMSE:0.93571156
Iter:29| MAE:0.73641926| RMSE:0.9351255
Iter:30| MAE:0.7361611| RMSE:0.9347128
Iter:31| MAE:0.7358942| RMSE:0.9342544
Iter:32| MAE:0.73559576| RMSE:0.9339275
Iter:33| MAE:0.7354522| RMSE:0.93376476
Iter:34| MAE:0.7353062| RMSE:0.9335431
Iter:35| MAE:0.73503906| RMSE:0.93322927
Iter:36| MAE:0.7348941| RMSE:0.93297744
Iter:37| MAE:0.7347909| RMSE:0.9328625
Iter:38| MAE:0.7347057| RMSE:0.9326374
Iter:39| MAE:0.73455167| RMSE:0.93242174
Iter:40| MAE:0.73446363| RMSE:0.9322821
Iter:41| MAE:0.7344459| RMSE:0.93220276
Iter:42| MAE:0.73431444| RMSE:0.93205965
Iter:43| MAE:0.73419964| RMSE:0.93191415
Iter:44| MAE:0.7340807| RMSE:0.93176526
Iter:45| MAE:0.73408496| RMSE:0.9316825
Iter:46| MAE:0.73401624| RMSE:0.9315588
Iter:47| MAE:0.73400885| RMSE:0.9315239
Iter:48| MAE:0.7339943| RMSE:0.9314744
Iter:49| MAE:0.7339541| RMSE:0.9314128
Iter:50| MAE:0.7338886| RMSE:0.9313246
Iter:51| MAE:0.7338755| RMSE:0.93127406
Iter:52| MAE:0.73384494| RMSE:0.93122834
Iter:53| MAE:0.7338092| RMSE:0.93116814
Iter:54| MAE:0.7337944| RMSE:0.93112737
Iter:55| MAE:0.7337672| RMSE:0.9310904
Iter:56| MAE:0.73373824| RMSE:0.93104684
Iter:57| MAE:0.73369944| RMSE:0.93100804
Iter:58| MAE:0.7336878| RMSE:0.9309947
Iter:59| MAE:0.73369086| RMSE:0.93097764
Iter:60| MAE:0.733681| RMSE:0.93095267
Iter:61| MAE:0.7336703| RMSE:0.93094146
Iter:62| MAE:0.7336586| RMSE:0.9309227
Iter:63| MAE:0.73365635| RMSE:0.93090105
Iter:64| MAE:0.733658| RMSE:0.93090147
Iter:65| MAE:0.73363906| RMSE:0.9308807
Iter:66| MAE:0.7336333| RMSE:0.9308756
Iter:67| MAE:0.73363733| RMSE:0.9308651
Iter:68| MAE:0.7336246| RMSE:0.9308534
Iter:69| MAE:0.7336213| RMSE:0.9308456
Iter:70| MAE:0.73361945| RMSE:0.9308372
Iter:71| MAE:0.7336167| RMSE:0.9308302
Iter:72| MAE:0.73360854| RMSE:0.9308291
Iter:73| MAE:0.73360175| RMSE:0.9308195
Iter:74| MAE:0.73360234| RMSE:0.9308179
Iter:75| MAE:0.7335973| RMSE:0.93081117
Iter:76| MAE:0.7335936| RMSE:0.9308069
Iter:77| MAE:0.73359275| RMSE:0.93079984
Iter:78| MAE:0.73358953| RMSE:0.9307941
Iter:79| MAE:0.73358923| RMSE:0.93079203
Iter:80| MAE:0.73358816| RMSE:0.9307895
Iter:81| MAE:0.7335844| RMSE:0.93078667
Iter:82| MAE:0.733586| RMSE:0.9307851
Iter:83| MAE:0.73358196| RMSE:0.930782
Iter:84| MAE:0.7335802| RMSE:0.93077886
Iter:85| MAE:0.7335775| RMSE:0.9307746
Iter:86| MAE:0.73357767| RMSE:0.93077445
Iter:87| MAE:0.7335766| RMSE:0.9307728
Iter:88| MAE:0.73357826| RMSE:0.9307703
Iter:89| MAE:0.7335737| RMSE:0.930767
Iter:90| MAE:0.7335721| RMSE:0.9307643
Iter:91| MAE:0.7335735| RMSE:0.9307639
Iter:92| MAE:0.73357195| RMSE:0.93076175
Iter:93| MAE:0.7335712| RMSE:0.93075967
Iter:94| MAE:0.7335697| RMSE:0.9307575
Iter:95| MAE:0.7335671| RMSE:0.9307568
Iter:96| MAE:0.7335654| RMSE:0.93075407
Iter:97| MAE:0.733564| RMSE:0.93075293
Iter:98| MAE:0.73356354| RMSE:0.93075085
Iter:99| MAE:0.73356164| RMSE:0.9307478
MAE:0.73356056| RMSE:0.93074465
