d: 20
lambda: 0.001
delta_o: 0.0
gamma: 0.01
fnTrainingData: ../ML100K/generality/copy2.train
fnTestData: ../ML100K/generality/copy2.test
fnOutputData: ./testResult/FPMF_0.001_3_100K_copy_2.txt
MinRating: 1.0
MaxRating: 5.0
n: 943
m: 1682
rho: 3.0
num_iterations: 100
Iter:0| MAE:2.5366| RMSE:2.7709925
Iter:1| MAE:1.5868067| RMSE:1.9949542
Iter:2| MAE:1.0654242| RMSE:1.4293604
Iter:3| MAE:0.885208| RMSE:1.163609
Iter:4| MAE:0.8252577| RMSE:1.0680375
Iter:5| MAE:0.80243796| RMSE:1.0268507
Iter:6| MAE:0.785658| RMSE:0.99954295
Iter:7| MAE:0.78582036| RMSE:0.99372035
Iter:8| MAE:0.78067786| RMSE:0.98786914
Iter:9| MAE:0.7791877| RMSE:0.9854935
Iter:10| MAE:0.7784989| RMSE:0.98445135
Iter:11| MAE:0.7795454| RMSE:0.9850261
Iter:12| MAE:0.7822729| RMSE:0.9873857
Iter:13| MAE:0.7798672| RMSE:0.9859591
Iter:14| MAE:0.7794503| RMSE:0.9853387
Iter:15| MAE:0.77996504| RMSE:0.9852866
Iter:16| MAE:0.7790815| RMSE:0.9843803
Iter:17| MAE:0.7777849| RMSE:0.98338234
Iter:18| MAE:0.7783789| RMSE:0.9841039
Iter:19| MAE:0.7791333| RMSE:0.98385197
Iter:20| MAE:0.77841127| RMSE:0.983515
Iter:21| MAE:0.7788976| RMSE:0.98396426
Iter:22| MAE:0.7777243| RMSE:0.9825683
Iter:23| MAE:0.77798057| RMSE:0.98286617
Iter:24| MAE:0.7784052| RMSE:0.9831241
Iter:25| MAE:0.77870256| RMSE:0.98327667
Iter:26| MAE:0.7785327| RMSE:0.9834989
Iter:27| MAE:0.77835053| RMSE:0.98299813
Iter:28| MAE:0.7789381| RMSE:0.98340833
Iter:29| MAE:0.77837247| RMSE:0.98296046
Iter:30| MAE:0.7777127| RMSE:0.98231816
Iter:31| MAE:0.7777596| RMSE:0.98225003
Iter:32| MAE:0.77791| RMSE:0.982389
Iter:33| MAE:0.7780222| RMSE:0.98233765
Iter:34| MAE:0.7785214| RMSE:0.9827161
Iter:35| MAE:0.77885026| RMSE:0.9829324
Iter:36| MAE:0.77859104| RMSE:0.9827023
Iter:37| MAE:0.77835596| RMSE:0.9824719
Iter:38| MAE:0.7778951| RMSE:0.98205936
Iter:39| MAE:0.7780445| RMSE:0.9822326
Iter:40| MAE:0.7783978| RMSE:0.9824765
Iter:41| MAE:0.7785395| RMSE:0.9826095
Iter:42| MAE:0.7783601| RMSE:0.9823951
Iter:43| MAE:0.7786372| RMSE:0.9826149
Iter:44| MAE:0.7785181| RMSE:0.9824751
Iter:45| MAE:0.77835983| RMSE:0.9823667
Iter:46| MAE:0.77832496| RMSE:0.982333
Iter:47| MAE:0.7783663| RMSE:0.98235554
Iter:48| MAE:0.7784381| RMSE:0.98238266
Iter:49| MAE:0.77833366| RMSE:0.9822838
Iter:50| MAE:0.7781033| RMSE:0.98208594
Iter:51| MAE:0.7780864| RMSE:0.9821105
Iter:52| MAE:0.778105| RMSE:0.9821367
Iter:53| MAE:0.77811694| RMSE:0.9821281
Iter:54| MAE:0.7781647| RMSE:0.98215044
Iter:55| MAE:0.77820253| RMSE:0.9821788
Iter:56| MAE:0.7782292| RMSE:0.98218405
Iter:57| MAE:0.7782257| RMSE:0.98218274
Iter:58| MAE:0.7782316| RMSE:0.98221445
Iter:59| MAE:0.7782339| RMSE:0.98221177
Iter:60| MAE:0.7782389| RMSE:0.9822157
Iter:61| MAE:0.7782235| RMSE:0.98218983
Iter:62| MAE:0.7782124| RMSE:0.9821697
Iter:63| MAE:0.7782134| RMSE:0.9821646
Iter:64| MAE:0.77821875| RMSE:0.98215955
Iter:65| MAE:0.7782093| RMSE:0.9821486
Iter:66| MAE:0.7782003| RMSE:0.98213404
Iter:67| MAE:0.778161| RMSE:0.98209554
Iter:68| MAE:0.7781515| RMSE:0.9820924
Iter:69| MAE:0.7781656| RMSE:0.9821034
Iter:70| MAE:0.77816707| RMSE:0.9821041
Iter:71| MAE:0.7781682| RMSE:0.98210275
Iter:72| MAE:0.77817464| RMSE:0.98211
Iter:73| MAE:0.77816564| RMSE:0.98210263
Iter:74| MAE:0.7781632| RMSE:0.98210007
Iter:75| MAE:0.7781637| RMSE:0.98210406
Iter:76| MAE:0.77816784| RMSE:0.9821019
Iter:77| MAE:0.7781652| RMSE:0.9821019
Iter:78| MAE:0.77816594| RMSE:0.98209953
Iter:79| MAE:0.77816325| RMSE:0.9820973
Iter:80| MAE:0.77816254| RMSE:0.9820982
Iter:81| MAE:0.7781635| RMSE:0.98209697
Iter:82| MAE:0.7781631| RMSE:0.9820937
Iter:83| MAE:0.7781584| RMSE:0.9820952
Iter:84| MAE:0.7781575| RMSE:0.98209226
Iter:85| MAE:0.77815425| RMSE:0.9820878
Iter:86| MAE:0.77815133| RMSE:0.98208725
Iter:87| MAE:0.77815074| RMSE:0.9820846
Iter:88| MAE:0.7781498| RMSE:0.9820851
Iter:89| MAE:0.7781506| RMSE:0.98208344
Iter:90| MAE:0.7781494| RMSE:0.98208255
Iter:91| MAE:0.7781484| RMSE:0.98208237
Iter:92| MAE:0.77814746| RMSE:0.9820816
Iter:93| MAE:0.7781465| RMSE:0.9820819
Iter:94| MAE:0.77814704| RMSE:0.98208237
Iter:95| MAE:0.77814734| RMSE:0.9820811
Iter:96| MAE:0.7781473| RMSE:0.9820823
Iter:97| MAE:0.7781484| RMSE:0.9820815
Iter:98| MAE:0.7781482| RMSE:0.9820808
Iter:99| MAE:0.77814656| RMSE:0.9820794
MAE:0.7781474| RMSE:0.9820788
