d: 20
lambda: 0.001
delta_o: 0.0
gamma: 0.01
fnTrainingData: ../ML1M/generality/copy2.train
fnTestData: ../ML1M/generality/copy2.test
fnOutputData: ./testResult/FPMF_0.001_0_1M_copy_2.txt
MinRating: 1.0
MaxRating: 5.0
n: 6040
m: 3952
rho: 0.0
num_iterations: 100
Iter:0| MAE:2.5824826| RMSE:2.8137915
Iter:1| MAE:1.5148952| RMSE:1.9467438
Iter:2| MAE:1.0569918| RMSE:1.4400251
Iter:3| MAE:0.85740805| RMSE:1.1515192
Iter:4| MAE:0.77705246| RMSE:1.0134081
Iter:5| MAE:0.7469573| RMSE:0.9579118
Iter:6| MAE:0.73213506| RMSE:0.9322897
Iter:7| MAE:0.72572374| RMSE:0.9204248
Iter:8| MAE:0.7186394| RMSE:0.9112198
Iter:9| MAE:0.71259004| RMSE:0.90381676
Iter:10| MAE:0.70970213| RMSE:0.89947855
Iter:11| MAE:0.70575494| RMSE:0.8955137
Iter:12| MAE:0.7027152| RMSE:0.8921442
Iter:13| MAE:0.6996818| RMSE:0.8890257
Iter:14| MAE:0.69738716| RMSE:0.8866335
Iter:15| MAE:0.69593877| RMSE:0.8848071
Iter:16| MAE:0.6945668| RMSE:0.88334024
Iter:17| MAE:0.6932021| RMSE:0.88176465
Iter:18| MAE:0.69211286| RMSE:0.8805251
Iter:19| MAE:0.6908899| RMSE:0.8789037
Iter:20| MAE:0.6899071| RMSE:0.87803704
Iter:21| MAE:0.68900204| RMSE:0.87697893
Iter:22| MAE:0.6882747| RMSE:0.8760961
Iter:23| MAE:0.6876354| RMSE:0.8753195
Iter:24| MAE:0.68699914| RMSE:0.8746525
Iter:25| MAE:0.68641454| RMSE:0.8741089
Iter:26| MAE:0.6858417| RMSE:0.87347984
Iter:27| MAE:0.6855411| RMSE:0.87299925
Iter:28| MAE:0.68513346| RMSE:0.87259877
Iter:29| MAE:0.68471605| RMSE:0.87209934
Iter:30| MAE:0.6844104| RMSE:0.8717828
Iter:31| MAE:0.68422294| RMSE:0.8715706
Iter:32| MAE:0.6839901| RMSE:0.87129927
Iter:33| MAE:0.6838434| RMSE:0.871019
Iter:34| MAE:0.6835496| RMSE:0.87077147
Iter:35| MAE:0.68338025| RMSE:0.8705656
Iter:36| MAE:0.68315625| RMSE:0.87037426
Iter:37| MAE:0.68307054| RMSE:0.8702094
