d: 20
lambda: 0.001
delta_o: 0.0
gamma: 0.01
fnTrainingData: ../ML100K/generality/copy4.train
fnTestData: ../ML100K/generality/copy4.test
fnOutputData: ./testResult/FPMF_0.001_1_100K_copy_4.txt
MinRating: 1.0
MaxRating: 5.0
n: 943
m: 1682
rho: 1.0
num_iterations: 100
Iter:0| MAE:2.5244| RMSE:2.7652848
Iter:1| MAE:1.7246861| RMSE:2.116933
Iter:2| MAE:1.2056682| RMSE:1.6015608
Iter:3| MAE:0.91186386| RMSE:1.2041816
Iter:4| MAE:0.8257497| RMSE:1.0705756
Iter:5| MAE:0.7983675| RMSE:1.027655
Iter:6| MAE:0.7864131| RMSE:1.0030594
Iter:7| MAE:0.7783572| RMSE:0.99080664
Iter:8| MAE:0.7726982| RMSE:0.9786624
Iter:9| MAE:0.77016646| RMSE:0.97649586
Iter:10| MAE:0.76961684| RMSE:0.9749721
Iter:11| MAE:0.7697818| RMSE:0.97528267
Iter:12| MAE:0.76895046| RMSE:0.9743596
Iter:13| MAE:0.7692032| RMSE:0.974471
Iter:14| MAE:0.768732| RMSE:0.9736491
Iter:15| MAE:0.76885074| RMSE:0.97380805
Iter:16| MAE:0.7701633| RMSE:0.9742379
Iter:17| MAE:0.7682763| RMSE:0.9724302
Iter:18| MAE:0.7678689| RMSE:0.9721574
Iter:19| MAE:0.7666792| RMSE:0.9712062
Iter:20| MAE:0.7677851| RMSE:0.9722022
Iter:21| MAE:0.76730305| RMSE:0.9711927
Iter:22| MAE:0.7683545| RMSE:0.97195274
Iter:23| MAE:0.7685873| RMSE:0.97188777
Iter:24| MAE:0.7682167| RMSE:0.97156686
Iter:25| MAE:0.76930016| RMSE:0.97255117
Iter:26| MAE:0.76868236| RMSE:0.97204316
Iter:27| MAE:0.7686424| RMSE:0.97163236
Iter:28| MAE:0.76810706| RMSE:0.9712275
Iter:29| MAE:0.768254| RMSE:0.9709798
Iter:30| MAE:0.7681713| RMSE:0.97107387
Iter:31| MAE:0.767602| RMSE:0.9706517
Iter:32| MAE:0.7675628| RMSE:0.9707169
Iter:33| MAE:0.7682423| RMSE:0.9711388
Iter:34| MAE:0.7682903| RMSE:0.9711757
Iter:35| MAE:0.7683534| RMSE:0.9710695
Iter:36| MAE:0.7681563| RMSE:0.97096324
Iter:37| MAE:0.76846194| RMSE:0.97111726
Iter:38| MAE:0.7684009| RMSE:0.9709584
Iter:39| MAE:0.76816136| RMSE:0.97075105
Iter:40| MAE:0.76815027| RMSE:0.970737
Iter:41| MAE:0.76788336| RMSE:0.97054946
Iter:42| MAE:0.7677937| RMSE:0.9704937
Iter:43| MAE:0.7676211| RMSE:0.9704188
Iter:44| MAE:0.7676996| RMSE:0.9704563
Iter:45| MAE:0.7676879| RMSE:0.9704555
Iter:46| MAE:0.7678208| RMSE:0.9705211
Iter:47| MAE:0.7678584| RMSE:0.9705507
