d: 20
lambda: 0.001
delta_o: 0.0
gamma: 0.01
fnTrainingData: ../ML1M/generality/copy5.train
fnTestData: ../ML1M/generality/copy5.test
fnOutputData: ./testResult/FPMF_0.001_2_1M_copy_5.txt
MinRating: 1.0
MaxRating: 5.0
n: 6040
m: 3952
rho: 2.0
num_iterations: 100
Iter:0| MAE:2.581193| RMSE:2.8127556
Iter:1| MAE:1.497622| RMSE:1.9292041
Iter:2| MAE:1.0235468| RMSE:1.3861358
Iter:3| MAE:0.8570291| RMSE:1.1357156
Iter:4| MAE:0.7949812| RMSE:1.0300599
Iter:5| MAE:0.7691413| RMSE:0.9818164
Iter:6| MAE:0.7604649| RMSE:0.9675251
Iter:7| MAE:0.7576664| RMSE:0.96225685
Iter:8| MAE:0.7546846| RMSE:0.95784754
Iter:9| MAE:0.7503323| RMSE:0.9521153
Iter:10| MAE:0.7472762| RMSE:0.94872886
Iter:11| MAE:0.7442523| RMSE:0.94560367
Iter:12| MAE:0.7424774| RMSE:0.94344145
Iter:13| MAE:0.7403996| RMSE:0.94128525
Iter:14| MAE:0.738938| RMSE:0.93919563
Iter:15| MAE:0.7374298| RMSE:0.9375244
Iter:16| MAE:0.73611325| RMSE:0.93595225
Iter:17| MAE:0.7348818| RMSE:0.93455625
Iter:18| MAE:0.7337027| RMSE:0.93318903
Iter:19| MAE:0.7328721| RMSE:0.9321041
Iter:20| MAE:0.7318208| RMSE:0.9309488
Iter:21| MAE:0.73094034| RMSE:0.93002045
Iter:22| MAE:0.7305967| RMSE:0.9291926
Iter:23| MAE:0.7298607| RMSE:0.9283413
Iter:24| MAE:0.72905695| RMSE:0.9275117
Iter:25| MAE:0.7287783| RMSE:0.9269149
Iter:26| MAE:0.7280228| RMSE:0.9259359
Iter:27| MAE:0.7276675| RMSE:0.92543054
Iter:28| MAE:0.7272727| RMSE:0.9249308
Iter:29| MAE:0.72704726| RMSE:0.92453665
Iter:30| MAE:0.7266954| RMSE:0.92420506
Iter:31| MAE:0.72633123| RMSE:0.923766
Iter:32| MAE:0.7261883| RMSE:0.92340475
Iter:33| MAE:0.7260023| RMSE:0.9230637
Iter:34| MAE:0.7258733| RMSE:0.92284995
Iter:35| MAE:0.7257073| RMSE:0.922555
Iter:36| MAE:0.7255486| RMSE:0.92229533
Iter:37| MAE:0.7254286| RMSE:0.9220846
Iter:38| MAE:0.72532177| RMSE:0.9219516
Iter:39| MAE:0.72524965| RMSE:0.9218158
Iter:40| MAE:0.7249567| RMSE:0.9215048
Iter:41| MAE:0.7249012| RMSE:0.9213827
Iter:42| MAE:0.7248596| RMSE:0.9213024
Iter:43| MAE:0.7247896| RMSE:0.9211903
Iter:44| MAE:0.72474223| RMSE:0.9210926
Iter:45| MAE:0.7246769| RMSE:0.9209711
Iter:46| MAE:0.72467667| RMSE:0.9209131
Iter:47| MAE:0.72458446| RMSE:0.92080253
