d: 20
lambda: 0.001
gamma: 0.8
rho: 3.0
fnTrainingData: ../ML1M/generality/copy5.train
fnTestData: ../ML1M/generality/copy5.test
fnOutputData: ./testResult/FPMF_0.001_3_1M_copy_5.txt
MinRating: 1.0
MaxRating: 5.0
n: 6040
m: 3952
num_iterations: 100
start_hybrid_averaging_iterations: 10
local_train_iterations: 15
Iter:0| MAE:2.581193| RMSE:2.8127556
Iter:1| MAE:2.581193| RMSE:2.8127556
Iter:2| MAE:2.581193| RMSE:2.8127556
Iter:3| MAE:2.581193| RMSE:2.8127556
Iter:4| MAE:2.581193| RMSE:2.8127556
Iter:5| MAE:2.581193| RMSE:2.8127556
Iter:6| MAE:2.581193| RMSE:2.8127556
Iter:7| MAE:2.581193| RMSE:2.8127556
Iter:8| MAE:2.4163723| RMSE:2.6314473
Iter:9| MAE:0.7900766| RMSE:1.0302892
Iter:10| MAE:0.8569508| RMSE:1.0381411
Iter:11| MAE:0.80304146| RMSE:1.0466228
Iter:12| MAE:0.82936764| RMSE:1.0082229
Iter:13| MAE:0.7463072| RMSE:0.9603624
Iter:14| MAE:0.752006| RMSE:0.9397884
Iter:15| MAE:0.73658985| RMSE:0.9326961
Iter:16| MAE:0.7361811| RMSE:0.929372
Iter:17| MAE:0.7340142| RMSE:0.92728114
Iter:18| MAE:0.7326631| RMSE:0.92571044
Iter:19| MAE:0.7316044| RMSE:0.9244886
Iter:20| MAE:0.7307638| RMSE:0.92352533
Iter:21| MAE:0.73009545| RMSE:0.9227524
Iter:22| MAE:0.7295516| RMSE:0.9221179
Iter:23| MAE:0.7290822| RMSE:0.9216003
Iter:24| MAE:0.7287047| RMSE:0.92116165
Iter:25| MAE:0.72838336| RMSE:0.9208001
Iter:26| MAE:0.7281164| RMSE:0.9204866
Iter:27| MAE:0.7278792| RMSE:0.92021674
Iter:28| MAE:0.7276791| RMSE:0.9199916
Iter:29| MAE:0.7274995| RMSE:0.91980106
Iter:30| MAE:0.72735035| RMSE:0.9196281
Iter:31| MAE:0.7272152| RMSE:0.9194724
Iter:32| MAE:0.72710437| RMSE:0.9193474
Iter:33| MAE:0.72699976| RMSE:0.9192354
Iter:34| MAE:0.72690904| RMSE:0.9191346
Iter:35| MAE:0.72682524| RMSE:0.9190439
Iter:36| MAE:0.72675276| RMSE:0.91896623
Iter:37| MAE:0.7266928| RMSE:0.9188949
Iter:38| MAE:0.72663695| RMSE:0.91883445
Iter:39| MAE:0.7265836| RMSE:0.91878337
Iter:40| MAE:0.7265383| RMSE:0.9187338
Iter:41| MAE:0.7264997| RMSE:0.91869146
Iter:42| MAE:0.72646517| RMSE:0.9186489
Iter:43| MAE:0.72643113| RMSE:0.91861534
Iter:44| MAE:0.7264035| RMSE:0.9185858
Iter:45| MAE:0.7263786| RMSE:0.9185586
Iter:46| MAE:0.7263583| RMSE:0.9185332
Iter:47| MAE:0.72633815| RMSE:0.91851306
Iter:48| MAE:0.72631896| RMSE:0.9184944
Iter:49| MAE:0.7263018| RMSE:0.9184785
Iter:50| MAE:0.7262857| RMSE:0.91846275
Iter:51| MAE:0.7262717| RMSE:0.9184487
Iter:52| MAE:0.72625935| RMSE:0.9184384
Iter:53| MAE:0.7262498| RMSE:0.9184265
Iter:54| MAE:0.72624046| RMSE:0.9184181
Iter:55| MAE:0.72623044| RMSE:0.9184097
Iter:56| MAE:0.7262233| RMSE:0.91840297
Iter:57| MAE:0.7262161| RMSE:0.9183951
Iter:58| MAE:0.7262097| RMSE:0.9183899
Iter:59| MAE:0.72620237| RMSE:0.91838425
Iter:60| MAE:0.72619545| RMSE:0.9183792
Iter:61| MAE:0.7261898| RMSE:0.9183743
Iter:62| MAE:0.72618634| RMSE:0.9183681
Iter:63| MAE:0.72618353| RMSE:0.9183653
Iter:64| MAE:0.72618103| RMSE:0.91836154
Iter:65| MAE:0.7261782| RMSE:0.91835874
Iter:66| MAE:0.72617334| RMSE:0.9183548
Iter:67| MAE:0.72617096| RMSE:0.9183524
Iter:68| MAE:0.72616845| RMSE:0.91835076
Iter:69| MAE:0.7261657| RMSE:0.91834915
Iter:70| MAE:0.72616404| RMSE:0.91834664
Iter:71| MAE:0.7261629| RMSE:0.91834533
Iter:72| MAE:0.72616154| RMSE:0.9183437
Iter:73| MAE:0.72615993| RMSE:0.9183421
Iter:74| MAE:0.72615814| RMSE:0.9183405
Iter:75| MAE:0.7261576| RMSE:0.9183399
Iter:76| MAE:0.7261564| RMSE:0.91833884
Iter:77| MAE:0.7261554| RMSE:0.91833824
Iter:78| MAE:0.72615534| RMSE:0.91833764
Iter:79| MAE:0.7261543| RMSE:0.91833717
Iter:80| MAE:0.7261536| RMSE:0.91833663
Iter:81| MAE:0.72615284| RMSE:0.9183364
Iter:82| MAE:0.72615206| RMSE:0.9183358
Iter:83| MAE:0.7261517| RMSE:0.91833526
Iter:84| MAE:0.7261509| RMSE:0.91833484
Iter:85| MAE:0.7261507| RMSE:0.9183349
Iter:86| MAE:0.72615045| RMSE:0.91833454
Iter:87| MAE:0.72615004| RMSE:0.91833407
Iter:88| MAE:0.7261497| RMSE:0.91833365
Iter:89| MAE:0.72614914| RMSE:0.9183335
Iter:90| MAE:0.7261491| RMSE:0.91833305
Iter:91| MAE:0.72614914| RMSE:0.91833293
Iter:92| MAE:0.72614884| RMSE:0.918333
Iter:93| MAE:0.72614884| RMSE:0.9183329
Iter:94| MAE:0.72614884| RMSE:0.9183325
Iter:95| MAE:0.7261484| RMSE:0.9183324
Iter:96| MAE:0.7261483| RMSE:0.9183322
Iter:97| MAE:0.7261482| RMSE:0.918332
Iter:98| MAE:0.7261482| RMSE:0.91833186
Iter:99| MAE:0.72614807| RMSE:0.9183317
MAE:0.72614795| RMSE:0.91833156
